Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 263	Williamson Mine	44.5031	-115.0222	160370835	N/A	N/A
CH 264	Unnamed prospect	44.4978	-115.02	160370824	N/A	N/A
CH 265	Phonta-Williamson Mine (Williamson-Phontas Prospect)	44.4978	-115.0153	160370633	N/A	642
CH 266	Unnamed prospect	44.5142	-114.9942	160370821	N/A	N/A
CH 267	Pinyon Silver No. 3	44.5119	-114.9972	160370820	N/A	N/A
CH 268	Last Dollar Claim	44.51	-114.9936	160370819	N/A	N/A
CH 269	Pinyon Silver Nos. 1 and 2 (Juanita)	44.5069	-115.0003	160370818	N/A	N/A
CH 270	Unnamed prospect	44.5031	-114.9753	160370814	N/A	N/A
CH 271	Francisco Claim	44.5019	-114.9906	160370827	N/A	N/A
CH 272	Unnamed prospect	44.4997	-114.9939	160370826	N/A	N/A
CH 273	Unnamed prospect	44.4992	-114.9856	160370830	N/A	N/A
CH 274	P-W Nos. 83 and 84	44.4925	-114.9972	160370825	N/A	N/A
CH 275	Unnamed prospect	44.4906	-114.9933	160370813	N/A	N/A
CH 276	Unnamed prospect	44.4886	-114.9886	160370815	N/A	N/A
CH 277	Do-J No. 1	44.485	-115.0022	160370682	N/A	699
CH 278	Unnamed prospect	44.6078	-114.8647	160370787	N/A	N/A
CH 279	Effa Prospect	44.6033	-114.8858	160370234	W013925	685
CH 280	Lost Packer Mine	44.5983	-114.8808	160370235	W013926	686
CH 282	Unnamed prospect	44.5947	-114.8811	160370784	N/A	N/A
CH 283	South Packer Prospect	44.5933	-114.8781	160370236	W013927	687
CH 284	Unnamed prospect	44.5917	-114.8914	160370785	N/A	N/A
CH 285	Unnamed prospect	44.5917	-114.9036	160370779	N/A	N/A
CH 286	Unnamed prospect	44.5886	-114.9061	160370782	N/A	N/A
CH 287	Unnamed prospect	44.5839	-114.9133	160370786	N/A	N/A
CH 288	Sunrise Claim (Metcalf; Waneta)	44.5781	-114.8919	160370501	W014250	694
CH 289	Lost Eagle Claim (Waneta; Sunrise Group; Lost Eagle Shaft)	44.5775	-114.8961	160370251	W013930	693
CH 290	Blue Bird Claim	44.5697	-114.8925	160370776	N/A	N/A
CH 291	Metcalf Mine	44.5647	-114.8739	160370778	N/A	694
CH 292	Unnamed prospect	44.6006	-114.8483	160370832	N/A	N/A
CH 293	Unnamed prospect	44.5981	-114.8661	160370793	N/A	N/A
CH 294	Unnamed prospect	44.5981	-114.8608	160370788	N/A	N/A
CH 295	Unnamed prospect	44.5964	-114.8542	160370791	N/A	N/A
CH 296	Unnamed prospect	44.5939	-114.8683	160370794	N/A	N/A
CH 297	Unnamed prospect	44.5942	-114.8589	160370795	N/A	N/A
CH 298	Unnamed prospect	44.5928	-114.8469	160370798	N/A	N/A
CH 299	Unnamed prospect	44.5869	-114.8756	160370781	N/A	N/A
CH 300	Unnamed prospect	44.5822	-114.8692	160370780	N/A	N/A
CH 301	Unnamed prospect	44.5853	-114.8553	N/A	N/A	N/A
CH 302	New York Mine	44.5811	-114.8561	160370805	N/A	N/A
CH 303	Oro Grande Bar	44.5783	-114.8383	N/A	N/A	N/A
CH 304	Unnamed prospect	44.5819	-114.8506	160370796	N/A	N/A
CH 305	Unnamed prospect	44.5758	-114.8533	160370797	N/A	N/A
CH 306	Caldwell Placer Operation	44.5761	-114.8408	N/A	N/A	N/A
CH 307	Unnamed prospect	44.5742	-114.8456	160370790	N/A	N/A
CH 308	Lucky Day Prospect	44.5728	-114.8497	160370789	N/A	N/A
CH 309	Unnamed prospect	44.5706	-114.8478	160370800	N/A	N/A
CH 310	Casto Bar	44.5714	-114.8453	N/A	N/A	N/A
CH 311	Unnamed prospect	44.5697	-114.8419	160370708	N/A	N/A
CH 312	Unnamed prospect	44.5661	-114.845	160370803	N/A	N/A
CH 313	Unnamed prospect	44.5661	-114.8417	160370802	N/A	N/A
CH 314	Unnamed prospect	44.5664	-114.8375	160370804	N/A	N/A
