"SequenceNumber","Commodity"
"BA0025","Pb"
"BA0026","Cu"
"BA0026","Fe"
"BA0027","Ag"
"BA0027","Zn"
"BA0027","Mn"
"BA0027","Pb"
"BA0030","Cu"
"BA0030","Au"
"BA0030","Ag"
"BA0032","Au"
"BA0032","Ag"
"BA0032","Bi"
"BA0032","Cu"
"BA0033","Cu"
"BA0034","Cu"
"BA0034","Mo"
"BA0034","Au"
"BA0034","Zn"
"BA0034","Ag"
"BA0034","Pb"
"BA0035","Cu"
"BA0035","Ag"
"BA0036","Fe"
"BA0036","Cu"
"BA0037","Cu"
"BA0038","Cu"
"BA0039","Au"
"BA0039","Ag"
"BA0040","Mn"
"BA0041","Fe"
"BA0041","Mn"
"BA0042","Ag"
"BA0042","Au"
"BA0043","Mn"
"BA0044","Au"
"BA0044","Ag"
"BA0045","Au"
"BA0045","Ag"
"BA0046","Mn"
"BA0047","Hg"
"BA0048","Au"
"BA0049","gyp"
"BA0051","Ag"
"BA0051","Cu"
"BA0051","Au"
"BA0051","Pb"
"BA0051","Zn"
"BA0052","gyp"
"BA0053","Au"
"BA0053","Ag"
"BA0053","Pb"
"BA0053","Zn"
"BA0053","Sb"
"BA0053","Cu"
"BA0054","Ag"
"BA0054","Cu"
"BA0054","Au"
"BA0054","Pb"
"BA0054","Zn"
"BA0055","Ag"
"BA0055","Cu"
"BA0055","Au"
"BA0055","Pb"
"BA0055","Zn"
"BA0056","Cu"
"BA0056","Zn"
"BA0056","Ag"
"BA0057","Ag"
"BA0057","Pb"
"BA0057","Cu"
"BA0057","Zn"
"BA0059","Au"
"BA0059","Ag"
"BA0059","Zn"
"BA0059","Cu"
"BA0060","Ag"
"BA0060","Cu"
"BA0060","Pb"
"BA0060","Au"
"BA0060","Zn"
"BA0061","Au"
"BA0061","Ag"
"BA0061","Zn"
"BA0061","Pb"
"BA0061","Cu"
"BA0062","Au"
"BA0062","Ag"
"BA0062","Cu"
"BA0062","Zn"
"BA0062","Pb"
"BA0062","Sb"
"BA0062","Sn"
"BA0063","Ag"
"BA0063","Pb"
"BA0063","Cu"
"BA0063","Zn"
"BA0064","Cu"
"BA0064","Ag"
"BA0064","Pb"
"BA0064","Zn"
"BA0065","Cu"
"BA0065","Ag"
"BA0065","Zn"
"BA0066","Cu"
"BA0066","Zn"
"BA0066","Ag"
"BA0067","Cu"
"BA0067","Zn"
"BA0067","Ag"
"BA0068","gyp"
"BA0069","Cu"
"BA0069","Zn"
"BA0069","Au"
"BA0069","Fe"
"BA0069","Ag"
"BA0070","Fe"
"BA0070","Cu"
"BA0070","Ag"
"BA0071","Fe"
"BA0071","Cu"
"BA0072","Cu"
"BA0072","Fe"
"BA0073","Au"
"BA0073","Cu"
"BA0073","Fe"
"BA0074","Zn"
"BA0074","Cu"
"BA0076","Mo"
"BA0076","Cu"
"BA0076","Zn"
"BA0077","gyp"
"BA0078","Au"
"BA0078","Ag"
"BA0078","Fe"
"BA0078","Sb"
"BA0081","sil"
"BA0082","Au"
"BA0083","Cu"
"BA0084","Cu"
"BA0085","Cu"
"BA0086","gyp"
"BA0087","Cu"
"BA0088","stn"
"BA0089","Ag"
"BA0089","Au"
"BA0089","Pb"
"BA0090","Au"
"BA0091","Au"
"BA0092","Au"
"BA0092","Ag"
"BA0093","Cu"
"BA0094","Se"
"BA0094","Ag"
"BA0095","Ag"
"BA0095","Au"
"BA0095","Se"
"BA0096","Cu"
"BA0097","Au"
"BA0097","Ag"
"BA0097","Cu"
"BA0098","Ag"
"BA0099","Ag"
"BA0101","Mn"
"BA0102","Cr"
"BA0103","asb"
"BA0104","Mn"
"BA0105","Au"
"BA0105","Ag"
"BA0106","Au"
"BA0106","Ag"
"BA0106","cor"
"BA0106","Th"
"BA0106","Zr"
"BA0106","gem"
"BA0106","gar"
"BA0106","Ti"
"BA0106","RE"
"BA0106","mon"
"BA0106","abr"
"BA0109","Ti"
"BA0110","RE"
"BA0110","Fe"
"BA0110","Zr"
"BA0110","abr"
"BA0110","Ti"
"BA0111","Si"
"BA0111","qtz"
"BA0113","Cu"
"BA0114","Au"
"BA0114","Ag"
"BA0115","fld"
"BA0115","mic"
"BA0116","mic"
"BA0116","fld"
"BA0117","mic"
"BA0117","Au"
"BA0118","Pb"
"BA0118","Zn"
"BA0119","RE"
"BA0120","Au"
"BA0120","Ti"
"BA0120","Zr"
"BA0120","Fe"
"BA0120","abr"
"BA0120","RE"
"BA0122","stn"
"BA0122","mon"
"BA0123","Mo"
"BA0124","Au"
"BA0125","Ag"
"BA0125","Cu"
"BA0126","Th"
"BA0127","Cu"
"BA0128","dit"
"BA0129","mic"
"BA0130","Hg"
"BA0131","Fe"
"BA0132","stn"
"BA0133","dit"
"BA0134","dit"
"BA0135","dit"
"BA0136","dit"
"BA0137","dit"
"BA0139","Au"
"BA0140","coal"
"BA0140","cly"
"BA0141","cly"
"BA0142","cal"
"BA0142","ls"
"BA0143","cly"
"BA0144","cly"
"BA0145","Au"
"BA0146","cly"
"BA0147","Au"
"BA0148","Au"
"BA0148","Ag"
"BA0149","cly"
"BA0150","Au"
"BA0150","stn"
"BA0151","Hg"
"BA0152","dit"
"BA0153","Hg"
"BA0154","cly"
"BA0155","cly"
"BA0156","gas"
"BA0156","oil"
"BA0157","sil"
"BA0158","Ag"
"BA0158","Au"
"BA0159","dit"
"BA0160","fld"
"BA0160","sil"
"BA0160","cly"
"BA0161","dit"
"BA0162","cly"
"BA0163","Hg"
"BA0164","Au"
"BA0164","Hg"
"BA0165","Hg"
"BA0166","Hg"
