"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
3264,763099403,1195214310,763099403,1195214310
3265,763135186,1195214364,763135186,1195214364
3266,763139669,1195206794,763139669,1195206794
3267,763224765,1195252428,763224765,1195252428
3268,763250025,1195254630,763250025,1195254630
3269,763280601,1195240349,763280601,1195240349
3270,763247046,1195239812,763247046,1195239812
3271,763262616,1195232296,763262616,1195232296
3272,763220497,1195245234,763220497,1195245234
3273,763206377,1195231249,763206377,1195231249
3274,763187747,1195227571,763187747,1195227571
3275,763245167,1195228135,763245167,1195228135
3276,763164285,1195269554,763164285,1195269554
3277,763176983,1195214310,763176983,1195214310
3278,763121147,1195198741,763121147,1195198741
3279,763140475,1195197936,763140475,1195197936
3280,763103161,1195189077,763103161,1195189077
3281,763139669,1195192835,763139669,1195192835
3282,763174835,1195198741,763174835,1195198741
3283,763215102,1195196594,763215102,1195196594
3284,763252953,1195186125,763252953,1195186125
3285,763265033,1195178609,763265033,1195178609
3286,763225303,1195180756,763225303,1195180756
3287,763177064,1195184407,763177064,1195184407
3288,763182997,1195168328,763182997,1195168328
3289,763156850,1195180756,763156850,1195180756
3290,763138059,1195172703,763138059,1195172703
3291,763138864,1195167334,763138864,1195167334
3292,763130006,1195162234,763130006,1195162234
3293,763138059,1195162234,763138059,1195162234
3294,763174031,1195164382,763174031,1195164382
3295,763178326,1195159281,763178326,1195159281
3296,763220203,1195150236,763220203,1195150236
3297,763140475,1195152570,763140475,1195152570
3298,763168125,1195153913,763168125,1195153913
3299,763132154,1195143444,763132154,1195143444
3300,763158998,1195143444,763158998,1195143444
3301,763254563,1195164382,763254563,1195164382
3302,763247879,1195162101,763247879,1195162101
3303,763236578,1195151766,763236578,1195151766
3304,763247262,1195118802,763247262,1195118802
3305,763209734,1195101837,763209734,1195101837
3306,764201630,1195182374,764201630,1195182374
3307,764212636,1195177811,764212636,1195177811
3308,764265520,1195171100,764265520,1195171100
3309,764231965,1195153920,764231965,1195153920
3310,764263373,1195146404,764263373,1195146404
3311,764231428,1195143451,764231428,1195143451
3312,764231965,1195119561,764231965,1195119561
3313,764178545,1195134995,764178545,1195134995
3314,764184451,1195125734,764184451,1195125734
3315,764143379,1195126271,764143379,1195126271
3316,764173176,1195120366,764173176,1195120366
3317,764115729,1195116607,764115729,1195116607
3318,764127004,1195113654,764127004,1195113654
3319,764120293,1195109359,764120293,1195109359
3320,764150090,1195110702,764150090,1195110702
3321,764101502,1195111507,764101502,1195111507
3322,764089691,1195106138,764089691,1195106138
3323,764074121,1195103990,764074121,1195103990
3324,764116535,1195104796,764116535,1195104796
3325,764145527,1195103186,764145527,1195103186
3326,764112777,1195098890,764112777,1195098890
3327,764110173,1195097683,764110173,1195097683
3328,764129957,1195100233,764129957,1195100233
3329,764142574,1195098085,764142574,1195098085
3330,764168613,1195098086,764168613,1195098086
3331,764180693,1195099428,764180693,1195099428
3332,764109824,1195085469,764109824,1195085469
3333,764110442,1195064021,764110442,1195064021
3334,764117878,1195057015,764117878,1195057015
3335,764117878,1195047351,764117878,1195047351
3336,764443229,1195187476,764443229,1195187476
3337,764364844,1195183717,764364844,1195183717
3338,764380414,1195160632,764380414,1195160632
3339,764300686,1195148821,764300686,1195148821
3340,764317867,1195149626,764317867,1195149626
3341,764330484,1195135399,764330484,1195135399
3342,764313303,1195133788,764313303,1195133788
3343,764335852,1195130836,764335852,1195130836
3344,764320820,1195127883,764320820,1195127883
3345,764339342,1195125735,764339342,1195125735
3346,764316256,1195121977,764316256,1195121977
3347,764323773,1195119561,764323773,1195119561
3348,764343825,1195122997,764343825,1195122997
3349,764350617,1195118219,764350617,1195118219
3350,764379609,1195126273,764379609,1195126273
3351,764366187,1195123320,764366187,1195123320
3352,764379609,1195117414,764379609,1195117414
3353,764344711,1195114461,764344711,1195114461
3354,764356523,1195110703,764356523,1195110703
3355,764371556,1195108556,764371556,1195108556
3356,764377462,1195104798,764377462,1195104798
3357,764372791,1195106462,764372791,1195106462
3358,764344711,1195105603,764344711,1195105603
3359,764325384,1195106945,764325384,1195106945
3360,764313304,1195103187,764313304,1195103187
3361,764392494,1195101845,764392494,1195101845
3362,764388736,1195097282,764388736,1195097282
3363,764381220,1195096476,764381220,1195096476
3364,764404306,1195093524,764404306,1195093524
3365,764393031,1195091376,764393031,1195091376
3366,764382025,1195091376,764382025,1195091376
3367,764340953,1195097282,764340953,1195097282
3368,764367798,1195091376,764367798,1195091376
3369,764361838,1195088048,764361838,1195088048
3370,764404306,1195083055,764404306,1195083055
3371,764349275,1195082518,764349275,1195082518
3372,764291023,1195078759,764291023,1195078759
3373,764335048,1195062385,764335048,1195062385
3374,764328337,1195051111,764328337,1195051111
3375,764412628,1195054869,764412628,1195054869
3376,764466853,1195107751,764466853,1195107751
3377,764467658,1195101040,764467658,1195101040
3378,763954531,1194974819,763954531,1194974819
3379,763957619,1194966015,763957619,1194966015
3380,763945914,1194968377,763945914,1194968377
3381,763957619,1194960914,763957619,1194960914
3382,764001643,1194962257,764001643,1194962257
3383,763965940,1194957962,763965940,1194957962
3384,763986450,1194950687,763986450,1194950687
3385,763944197,1194948298,763944197,1194948298
3386,763980786,1194936246,763980786,1194936246
3387,763981510,1194939977,763981510,1194939977
3388,763988221,1194937024,763988221,1194937024
3389,763956814,1194920649,763956814,1194920649
3390,763953861,1194910986,763953861,1194910986
3391,763959445,1194889404,763959445,1194889404
3392,763957619,1194902664,763957619,1194902664
3393,764012919,1194903470,764012919,1194903470
3394,763957781,1194896759,763957781,1194896759
3395,763962989,1194885485,763962989,1194885485
3396,763945164,1194879552,763945164,1194879552
3397,763889087,1194807262,763889087,1194807262
3398,763959177,1194844522,763959177,1194844522
3399,763903126,1194838535,763903126,1194838535
3400,764080834,1194978095,764080834,1194978095
3401,764056137,1194945883,764056137,1194945883
3402,764109987,1194938474,764109987,1194938474
3403,764094257,1194896760,764094257,1194896760
3404,764047816,1194895149,764047816,1194895149
3405,764116377,1194848737,764116377,1194848737
3406,764079225,1194847636,764079225,1194847636
3407,764096405,1194846831,764096405,1194846831
3408,764010504,1194845220,764010504,1194845220
3409,764096405,1194837167,764096405,1194837167
3410,763822595,1194713954,763822595,1194713954
3411,763845950,1194709660,763845950,1194709660
3412,763829307,1194694627,763829307,1194694627
3413,763882995,1194726034,763882995,1194726034
3414,763903128,1194716908,763903128,1194716908
3415,763981513,1194734088,763981513,1194734088
3416,763964333,1194731135,763964333,1194731135
3417,763955474,1194731940,763955474,1194731940
3418,763963528,1194719324,763963528,1194719324
3419,763956280,1194716908,763956280,1194716908
3420,763950106,1194711002,763950106,1194711002
3421,763932389,1194704292,763932389,1194704292
3422,763931583,1194696775,763931583,1194696775
3423,763941945,1194684401,763941945,1194684401
3424,763925678,1194692480,763925678,1194692480
3425,763921839,1194682736,763921839,1194682736
3426,763921329,1194681582,763921329,1194681582
3427,763905545,1194673153,763905545,1194673153
3428,763977756,1194679059,763977756,1194679059
3429,763950912,1194672348,763950912,1194672348
3430,763947154,1194666979,763947154,1194666979
3431,763984467,1194664027,763984467,1194664027
3432,763957408,1194648404,763957408,1194648404
3433,763912176,1194653584,763912176,1194653584
3434,763924927,1194635653,763924927,1194635653
3435,764021808,1194614125,764021808,1194614125
3436,766948093,1195540591,766948093,1195540591
3437,766943342,1195538766,766943342,1195538766
3438,766933490,1195532807,766933490,1195532807
3439,766981541,1195526955,766981541,1195526955
3440,766924819,1195529505,766924819,1195529505
3441,766929920,1195525344,766929920,1195525344
3442,766927423,1195535679,766927423,1195535679
3443,766909679,1195517935,766909679,1195517935
3444,766892767,1195514177,766892767,1195514177
3445,766945489,1195531975,766945489,1195531975
3446,766901626,1195509614,766901626,1195509614
3447,766941087,1195519278,766941087,1195519278
3448,766933571,1195511225,766933571,1195511225
3449,766945651,1195505319,766945651,1195505319
3450,766968415,1195495011,766968415,1195495011
3451,766983206,1195489643,766983206,1195489643
3452,766952362,1195484381,766952362,1195484381
