"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"EC0015","Old Lemroe Deposit","EC0015-07867","Old Lemroe Deposit",1,4244,
"EC0016","Buster Mine","EC0016-01595","Buster Mine (Golden Rule; Protection)",1,4245,
"EC0016","Golden Rule","EC0016-04209","Buster Mine (Golden Rule; Protection)",1,4246,
"EC0016","Protection","EC0016-08728","Buster Mine (Golden Rule; Protection)",1,4247,
"EC0017","Buffalo Gulch","EC0017-01512","Buffalo Gulch",1,4249,
"EC0018","H and H Placer","EC0018-04473","H and H Placer",1,4250,
"EC0019","Alice Prospect","EC0019-00145","Alice Prospect",1,4251,
"EC0020","Sunnyside","EC0020-10575","Sunnyside",1,4252,
"EC0021","South Fork","EC0021-01513","Buffalo Hill Placer (South Fork)",1,4253,
"EC0021","Buffalo Hill Placer","EC0021-10179","Buffalo Hill Placer (South Fork)",1,4254,
"EC0022","American River Mining Co.","EC0022-00250","American River Mining Co.",1,4255,
"EC0023","Cal-Idaho Placer","EC0023-01641","Cal-Idaho Placer (Gold Hill)",1,4256,
"EC0023","Gold Hill","EC0023-04008","Cal-Idaho Placer (Gold Hill)",1,4257,
"EC0024","California","EC0024-01654","Revenue Prospect (California)",1,4258,
"EC0024","Revenue Prospect","EC0024-09089","Revenue Prospect (California)",1,4259,
"EC0025","Brown Bear Prospect","EC0025-01434","Brown Bear Prospect (Red River Mines, Inc.)",1,4260,
"EC0025","Red River Mines, Inc.","EC0025-09007","Brown Bear Prospect (Red River Mines, Inc.)",1,4261,
"EC0026","Friday Claims Nos. 1 & 2","EC0026-03654","Friday Claims Nos. 1 & 2",1,4262,
"EC0027","Campbell Creek Placer","EC0027-01708","Campbell Creek Placer",1,4263,
"EC0028","Gold Copper","EC0028-03958","Gold Copper",1,4264,
"EC0029","Deadwood Creek Placer","EC0029-02690","Deadwood Creek Placer (Deadwood Placer)",1,4265,
"EC0029","Deadwood Placer","EC0029-02695","Deadwood Creek Placer (Deadwood Placer)",1,4266,
"EC0030","Daisy Group","EC0030-02635","Daisy Group",1,4267,
"EC0031","Top Ten","EC0031-10913","Top Ten (Erickson Reef)",1,4268,
"EC0032","Spare Time Mine","EC0032-10244","Spare Time Mine",1,4269,
"EC0033","Elk City Placers","EC0033-03211","Elk City Placers",1,4270,
"EC0034","Whitaker Deposit","EC0034-12510","Whitaker Deposit",1,4271,
"EC0035","Ross and Ross No. 1 Placer Claims","EC0035-09253","Ross and Ross No. 1 Placer Claims",1,4272,
"EC0036","Blue Bell","EC0036-01120","Mascot Mine (Del Rio; Gold Coin; Blue Bell)",1,4273,
"EC0036","Del Rio","EC0036-02742","Mascot Mine (Del Rio; Gold Coin; Blue Bell)",1,4274,
"EC0036","Gold Coin","EC0036-03946","Mascot Mine (Del Rio; Gold Coin; Blue Bell)",1,4275,
"EC0036","Mascot Mine","EC0036-06749","Mascot Mine (Del Rio; Gold Coin; Blue Bell)",1,4276,
"EC0037","Rand Prospect","EC0037-08896","Rand Prospect",1,4277,
"EC0038","Deadwood Canyon","EC0038-02688","Deadwood Canyon",1,4278,
"EC0039","Black Pine","EC0039-01009","Mary K Mine (Black Pine)",1,4280,
"EC0039","Mary K Mine","EC0039-06743","Mary K Mine (Black Pine)",1,4281,
"EC0040","American Hill Placer","EC0040-00242","American Hill Placer",1,4282,
"EC0041","Frustration Placer","EC0041-03666","Frustration Placer",1,4283,
"EC0042","Red Horse Placer","EC0042-08981","Red Horse Placer",1,4284,
"EC0043","Hope Mine","EC0043-04911","Hope Mine",1,4285,
"EC0044","George Prezel Placer","EC0044-03797","George Prezel Placer",1,4286,
"EC0045","Tiernan Hill Placer","EC0045-10848","Tiernan Hill Placer",1,4287,
"EC0046","Bengal","EC0046-00734","Bengal",1,4288,
"EC0047","General Grant","EC0047-03783","Mother Lode Mine (General Grant)",1,4289,
"EC0047","Mother Lode Mine","EC0047-07297","Mother Lode Mine (General Grant)",1,4290,
"EC0048","Busy Beaver Placer","EC0048-01596","Busy Beaver Placer",1,4291,
"EC0049","Snowstorm Deposit","EC0049-10110","Snowstorm Deposit",1,4292,
"EC0050","Unnamed placer","EC0050-11463","Unnamed placer",1,4293,
"EC0051","Blue Ribbon Mine","EC0051-01202","Blue Ribbon Mine",1,4294,
"EC0052","Unnamed mine","EC0052-11433","Unnamed mine",1,4296,
"EC0053","Suprise","EC0053-00237","American Eagle Mine (Suprise; Pansy; Fish Hawk Group)",1,4297,
"EC0053","American Eagle Mine","EC0053-03469","American Eagle Mine (Suprise; Pansy; Fish Hawk Group)",1,4298,
"EC0053","Fish Hawk Group","EC0053-08118","American Eagle Mine (Suprise; Pansy; Fish Hawk Group)",1,4299,
"EC0053","Pansy","EC0053-10633","American Eagle Mine (Suprise; Pansy; Fish Hawk Group)",1,4300,
"EC0054","American Eagle Placer Claims","EC0054-00238","American Eagle Placer Claims",1,4301,
"EC0055","formerly part of American Eagle Placer","EC0055-03557","Seigel Creek Placer (formerly part of American Eagle Placer)",1,4302,
"EC0055","Seigel Creek Placer","EC0055-09511","Seigel Creek Placer (formerly part of American Eagle Placer)",1,4303,
"EC0056","French Creek Placer","EC0056-03642","French Gulch Placer (Myke; Peace J.; Quail Placer Claims; French Creek Placer)",1,4304,
"EC0056","French Gulch Placer","EC0056-03648","French Gulch Placer (Myke; Peace J.; Quail Placer Claims; French Creek Placer)",1,4305,
"EC0056","Myke","EC0056-07419","French Gulch Placer (Myke; Peace J.; Quail Placer Claims; French Creek Placer)",1,4306,
"EC0056","Peace J.","EC0056-08236","French Gulch Placer (Myke; Peace J.; Quail Placer Claims; French Creek Placer)",1,4307,
"EC0056","Quail Placer Claims","EC0056-08792","French Gulch Placer (Myke; Peace J.; Quail Placer Claims; French Creek Placer)",1,4308,
"EC0057","Laurel","EC0057-05899","Laurel (West Laurel)",1,4309,
"EC0058","Gold Point Mine","EC0058-00678","Gold Point Mine (Behrens Placer)",1,4310,
"EC0058","Behrens Placer","EC0058-04069","Gold Point Mine (Behrens Placer)",1,4311,
"EC0059","Forest Service Administrative Land Placer","EC0059-03555","Forest Service Administrative Land Placer",1,4313,
"EC0060","Hornet","EC0060-04920","Hornet",1,4314,
"EC0061","Unnamed placer","EC0061-11461","Unnamed placer",1,4315,
"EC0062","Lucky Strike","EC0062-06516","Lucky Strike",1,4316,
