"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"AS0001","Unnamed Iron Prospect","AS0001-11143","Thimbleberry Iron Prospect (Unnamed Iron Prospect)",1,1,
"AS0002","Tick Heaven Talc Prospect","AS0002-10846","Tick Heaven Talc Prospect",1,2,
"AS0003","Idaho Driftwood","AS0003-05079","Idaho Driftwood",1,3,
"AS0004","Idaho Driftwood #1","AS0004-05080","Idaho Driftwood #1",1,4,
"AS0005","Unnamed location","AS0005-11253","Unnamed location",1,5,
"AS0006","Unnamed prospects","AS0006-11986","Unnamed prospects",1,6,
"AS0007","Continental Divide Area","AS0007-02322","Scott and Bucy Coal Mine (Continental Divide Area)",2,7,
"AS0007","Scott and Bucy Coal Mine","AS0007-09477","Scott and Bucy Coal Mine (Continental Divide Area)",1,8,
"AS0008","East Dry Creek Phosphate Mine","AS0008-03103","East Dry Creek Phosphate Mine",1,9,
"AS0009","Troublesome Ridge Phosphate Deposit","AS0009-00335","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",1,10,
"AS0009","Centennial Phosphate Mine","AS0009-01866","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",3,11,
"AS0009","Area No. 2 Phosphate Deposit","AS0009-09299","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",2,12,
"AS0009","Ruby Mine","AS0009-11011","Troublesome Ridge Phosphate Deposit (Area No. 2 Phosphate Deposit; Centennial Phosphate Mine; Ruby Mine)",4,13,
"AS0010","Taylor Creek Area","AS0010-10735","Taylor Creek Area",1,14,
"AS0011","Unnamed coal deposit","AS0011-11142","Unnamed coal deposit",1,15,
"AS0012","Area No. 4 Phosphate Deposit","AS0012-00337","Bald Mountain Phosphate Deposit (Area No. 4 Phosphate Deposit)",2,16,
"AS0012","Bald Mountain Phosphate Deposit","AS0012-00512","Bald Mountain Phosphate Deposit (Area No. 4 Phosphate Deposit)",1,17,
"AS0013","South Slope Taylor Creek Phosphate Deposit","AS0013-00336","South Slope Taylor Creek Phosphate Deposit (Area No. 3 Phosphate Deposit)",1,18,
"AS0013","Area No. 3 Phosphate Deposit","AS0013-10229","South Slope Taylor Creek Phosphate Deposit (Area No. 3 Phosphate Deposit)",2,19,
"AS0014","Carrot Ridge Area Phosphate Deposit","AS0014-00334","Carrot Ridge Area Phosphate Deposit (Area No. 1 Phosphate Deposit)",1,20,
"AS0014","Area No. 1 Phosphate Deposit","AS0014-01798","Carrot Ridge Area Phosphate Deposit (Area No. 1 Phosphate Deposit)",2,21,
"AS0015","Tanner Manganese Prospect","AS0015-10728","Tanner Manganese Prospect",1,22,
"AS0016","Tin Cup #1-6","AS0016-10867","Tin Cup #1-6",1,23,
"AS0017","Unnamed mine","AS0017-11424","Unnamed mine (Blue Ledge Mining Company)",1,24,
"AS0018","Blue Ledge Mining Company","AS0018-01192","Blue Ledge Mining Company",1,25,
"AS0019","Unnamed prospects","AS0019-11976","Unnamed prospects",1,26,
"AS0020","Unnamed prospect","AS0020-11507","Unnamed prospect",1,27,
"AS0021","Swan Butte","AS0021-10656","Swan Butte",1,28,
"AS0022","Crystal Butte","AS0022-02560","Crystal Butte",1,29,
"AS0023","High Point Butte Cinder Occurrence","AS0023-04770","High Point Butte Cinder Occurrence",1,30,
"AS0024","Wyoming Creek","AS0024-12765","Wyoming Creek",1,31,
"AS0025","Lava Oil Co.","AS0025-05901","Lava Oil Co.",1,32,
"AS0026","Cinder Pits","AS0026-02031","Cinder Pits",1,33,
"BA0001","Indian Creek","BA0001-05241","Indian Creek",1,34,
"BA0002","Unnamed location","BA0002-11223","Unnamed location",1,35,
"BA0003","Lucky Strike Mine","BA0003-06525","Lucky Strike Mine",1,36,
"BA0004","Rebound","BA0004-08944","Rebound",1,37,
"BA0005","Black Jack Nos. 1 & 2","BA0005-00992","Black Jack Nos. 1 & 2",1,38,
"BA0006","North Hornet Mine","BA0006-07706","North Hornet Mine",1,39,
"BA0007","Summit Placers","BA0007-10528","Summit Placers",1,40,
"BA0008","Council Barite","BA0008-02467","Inspiration Barite Deposit (Council Barite)",2,41,
"BA0008","Inspiration Barite Deposit","BA0008-05264","Inspiration Barite Deposit (Council Barite)",1,42,
"BA0009","Deck Mountain","BA0009-02704","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",4,43,
"BA0009","Hornet Creek Prospect","BA0009-04922","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",1,44,
"BA0009","North Hornet Creek","BA0009-07705","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",3,45,
"BA0009","Peck Mountain","BA0009-08268","Hornet Creek Prospect (Peck Mountain; North Hornet Creek; Deck Mountain)",2,46,
"BA0010","Red Iron","BA0010-08984","Red Iron",1,47,
"BA0011","Idaho","BA0011-05052","Idaho",1,48,
"BA0012","Lucky Star","BA0012-06504","Red Boy and Lucky Star (Lucky Star)",2,49,
"BA0012","Red Boy and Lucky Star","BA0012-08961","Red Boy and Lucky Star (Lucky Star)",1,50,
"BA0013","Kismet Prospect","BA0013-05734","Kismet Prospect",1,51,
"BA0014","Unnamed prospect","BA0014-11549","Unnamed prospect",1,52,
"BA0015","Cuddy Mine","BA0015-02579","Cuddy Mine (Freeze Prospect; Cuddy Mountain Mine; Last Chance)",1,53,
"BA0015","Cuddy Mountain Mine","BA0015-02580","Cuddy Mine (Freeze Prospect; Cuddy Mountain Mine; Last Chance)",3,54,
"BA0015","Freeze Prospect","BA0015-03636","Cuddy Mine (Freeze Prospect; Cuddy Mountain Mine; Last Chance)",2,55,
"BA0015","Last Chance","BA0015-05840","Cuddy Mine (Freeze Prospect; Cuddy Mountain Mine; Last Chance)",4,56,
"BA0016","Scrivens Lead Prospect","BA0016-09482","Scrivens Lead Prospect",1,57,
"BA0017","Galena","BA0017-03691","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",3,58,
"BA0017","Galena Mountain","BA0017-03700","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",5,59,
"BA0017","Keystone","BA0017-05671","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",2,60,
"BA0017","Lead Zone Mine","BA0017-05927","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",1,61,
"BA0017","Salena","BA0017-09360","Lead Zone Mine (Keystone; Galena; Salena; Galena Mountain)",4,62,
"BA0018","Snowslide","BA0018-03163","Edna May Prospect (Snowslide; Mundee Mines)",2,63,
"BA0018","Edna May Prospect","BA0018-07388","Edna May Prospect (Snowslide; Mundee Mines)",1,64,
"BA0018","Mundee Mines","BA0018-10099","Edna May Prospect (Snowslide; Mundee Mines)",3,65,
"BA0019","J. C. Riley","BA0019-05357","Riley Prospect (J. C. Riley)",2,66,
"BA0019","Riley Prospect","BA0019-09124","Riley Prospect (J. C. Riley)",1,67,
"BA0020","Thor Property","BA0020-05539","Thor Property (Jug Group)",1,68,
"BA0020","Jug Group","BA0020-10816","Thor Property (Jug Group)",2,69,
"BA0021","Dukes Creek","BA0021-03015","Dukes Creek",1,70,
"BA0022","Brownlee Creek Deposit","BA0022-01446","Brownlee Manganese Prospect (Brownlee Creek Deposit)",2,71,
"BA0022","Brownlee Manganese Prospect","BA0022-01447","Brownlee Manganese Prospect (Brownlee Creek Deposit)",1,72,
"BA0023","Grade Creek Prospect","BA0023-04283","Grade Creek Prospect (Mammoth Mine; Montezuma)",1,73,
"BA0023","Mammoth Mine","BA0023-06653","Grade Creek Prospect (Mammoth Mine; Montezuma)",2,74,
"BA0023","Montezuma","BA0023-07195","Grade Creek Prospect (Mammoth Mine; Montezuma)",3,75,
"BA0024","Hercules Group","BA0024-04688","Hercules Group",1,76,
"BA0025","Alex Houlahan's Property","BA0025-00131","Houlahan Property (Alex Houlahan's Property)",2,77,
"BA0025","Houlahan Property","BA0025-04961","Houlahan Property (Alex Houlahan's Property)",1,78,
"BA0026","Metheny Prospect","BA0026-06941","Metheny Prospect (Matheny Prospect)",1,79,
"BA0027","Belmont Mine","BA0027-00717","Belmont Mine",1,80,
"BA0028","Unnamed location","BA0028-11256","Unnamed location (Iron Cap; Big Cut)",1,81,
"BA0029","Unnamed location","BA0029-11153","Unnamed location",1,82,
"BA0030","Four V Prospect","BA0030-03580","Four V Prospect",1,83,
"BA0031","Unnamed location","BA0031-11159","Unnamed location",1,84,
"BA0032","Held Mine","BA0032-04647","Railroad Mine (Held Mine; Heald)",2,85,
"BA0032","Railroad Mine","BA0032-08850","Railroad Mine (Held Mine; Heald)",1,86,
"BA0033","East Brownlee Creek Prospects","BA0033-03098","East Brownlee Creek Prospects",1,87,
"BA0034","I.X.L. Mine","BA0034-05025","I.X.L. Mine  (IXLX)",1,88,
"BA0034","IXLX","BA0034-05354","I.X.L. Mine  (IXLX)",2,89,
"BA0035","Climax Prospect","BA0035-02127","Climax Prospect",1,90,
"BA0036","Iron Prospect","BA0036-05329","Iron Prospect",1,91,
"BA0037","Rush Creek Copper Occurrence","BA0037-09316","Rush Creek Copper Occurrence",1,92,
"BA0038","Goodrich Creek Canyon Prospect","BA0038-04269","Goodrich Creek Canyon Prospect",1,93,
"BA0039","Sturgill Bar Placer","BA0039-05842","Sturgill Bar Placer (Sturgill Creek Placer; Last Chance)",1,94,
"BA0039","Sturgill Creek Placer","BA0039-10490","Sturgill Bar Placer (Sturgill Creek Placer; Last Chance)",2,95,
"BA0039","Last Chance","BA0039-10492","Sturgill Bar Placer (Sturgill Creek Placer; Last Chance)",3,96,
"BA0040","Reilly Manganese Prospect","BA0040-09057","Reilly Manganese Prospect",1,97,
"BA0041","Sturgill Creek Mine","BA0041-00055","Sturgill Creek Mine (Adams' Sturgill Creek Property)",2,98,
"BA0041","Adams' Sturgill Creek Property","BA0041-10491","Sturgill Creek Mine (Adams' Sturgill Creek Property)",1,99,
"BA0042","Zinnia","BA0042-05497","Johnson Bar (Zinnia)",1,100,
"BA0042","Johnson Bar","BA0042-12838","Johnson Bar (Zinnia)",2,101,
"BA0043","Sheep Creek Property","BA0043-09555","Sheep Creek Property (Adams' Sheep Creek Property)",1,102,
"BA0044","Golden Grain Placer","BA0044-04183","Golden Grain Placer (Nagging Wife Placer)",1,103,
"BA0044","Nagging Wife Placer","BA0044-07438","Golden Grain Placer (Nagging Wife Placer)",2,104,
"BA0045","Smith #3","BA0045-09975","Smith #3",1,105,
"BA0046","J. G. Hill Prospect","BA0046-05358","J. G. Hill Prospect",1,106,
"BA0047","Virginia L. Claims","BA0047-12241","Virginia L. Claims (Lackey Mine)",1,107,
"BA0048","Submarine Placer","BA0048-10498","Submarine Placer",1,108,
"BA0049","Rock Island Gypsum","BA0049-09189","Rock Island Gypsum",1,109,
"BA0050","Unnamed location","BA0050-11158","Unnamed location",1,110,
"BA0051","Liberty Mine","BA0051-06023","Liberty Mine",1,111,
"BA0052","Gypsum Deposit","BA0052-04469","Gypsum Deposit",1,112,
"BA0053","Eagan","BA0053-03058","Eagan (Egan Mine)",1,113,
"BA0053","Egan Mine","BA0053-03172","Eagan (Egan Mine)",2,114,
"BA0054","Boon","BA0054-01312","Boone Mine (Boon)",2,115,
"BA0054","Boone Mine","BA0054-01314","Boone Mine (Boon)",1,116,
"BA0055","Enterprise Mine","BA0055-03307","Enterprise Mine (McCurkle-Shane Mine; McCorkle; McCorkle-Shane; Silver-Cable Mining Co.)",1,117,
"BA0056","Tate Prospect","BA0056-10731","Tate Prospect",1,118,
"BA0057","Gold Peak","BA0057-04065","Gold Peak",1,119,
"BA0059","Con Dor","BA0059-02264","Condor (Con Dor; Jessie)",2,124,
"BA0059","Condor","BA0059-02274","Condor (Con Dor; Jessie)",1,125,
"BA0059","Jessie","BA0059-05449","Condor (Con Dor; Jessie)",3,126,
"BA0060","Black Maria","BA0060-01004","Mariah (Black Maria; Maria Mine; Black Mariah)",2,127,
"BA0060","Maria Mine","BA0060-06702","Mariah (Black Maria; Maria Mine; Black Mariah)",3,128,
"BA0060","Mariah","BA0060-06703","Mariah (Black Maria; Maria Mine; Black Mariah)",1,129,
"BA0061","Black Hawk Mine","BA0061-00982","Black Hawk Mine",1,130,
"BA0062","Eagle Group","BA0062-00057","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",6,131,
"BA0062","Addie","BA0062-03072","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",3,132,
"BA0062","North Star Property","BA0062-07741","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",2,133,
"BA0062","Sam and Eagle Group","BA0062-09396","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",4,134,
"BA0062","Sam Group","BA0062-09398","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",5,135,
"BA0062","Silver Still Mine","BA0062-09847","Silver Still Mine (North Star Property; Addie; Sam and Eagle Group; Sam Group; Eagle Group)",1,136,
"BA0063","King Prospect","BA0063-05711","King Prospect (Silver King)",1,137,
"BA0063","Silver King","BA0063-09743","King Prospect (Silver King)",2,138,
"BA0064","Bell Mine","BA0064-04717","Silver Bell (Bell Mine)",1,140,
"BA0064","Silver Bell","BA0064-09640","Silver Bell (Bell Mine)",1,141,
"BA0065","Black Jack Prospect","BA0065-00994","Black Jack Prospect",1,142,
"BA0066","Azurite Prospect","BA0066-00434","Azurite Prospect (Salyer)",1,143,
"BA0066","Salyer","BA0066-09395","Azurite Prospect (Salyer)",2,144,
"BA0067","Dennett Creek Prospect","BA0067-02772","Dennett Creek Prospect",1,145,
"BA0068","Surface Mine","BA0068-02311","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",3,146,
"BA0068","Consumer Cooperative","BA0068-02312","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",6,147,
"BA0068","Consumers Cooperative Association","BA0068-04470","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",5,148,
"BA0068","Gypsum Mine","BA0068-05325","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",2,149,
"BA0068","Iron Mountain Gypsum","BA0068-09846","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",1,150,
"BA0068","Silver Still Gypsum","BA0068-10636","Iron Mountain Gypsum (Gypsum Mine; Surface Mine; Silver Still Gypsum; Consumers Cooperative Association; Consumer Cooperative)",4,151,
"BA0069","Abundance Mine","BA0069-00029","Abundance Mine",1,152,
"BA0070","Campbell Deposit","BA0070-00568","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",4,153,
"BA0070","Campbell Magnetite Deposit","BA0070-01709","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",1,154,
"BA0070","Iron Mountain-Mortimer Mine","BA0070-01710","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",5,155,
"BA0070","Barton","BA0070-05328","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",2,156,
"BA0070","Siegwein Claims","BA0070-09620","Campbell Magnetite Deposit (Barton; Siegwein Claims; Campbell Deposit; Iron Mountain-Mortimer Mine)",3,157,
"BA0071","Montana Prospect","BA0071-07183","Montana Prospect",1,158,
"BA0072","Standard Specularite Prospect","BA0072-10333","Standard Specularite Prospect",1,159,
"BA0073","Iron Mountain","BA0073-05323","Iron Mountain",1,160,
"BA0074","Iron Mountain Prospect","BA0074-05327","Iron Mountain Prospect",1,161,
"BA0075","Unnamed location","BA0075-11197","Unnamed location",1,162,
"BA0076","Thorn Spring Prospect","BA0076-10825","Thorn Spring Prospect",1,163,
"BA0077","Unnamed location","BA0077-11145","Unnamed location",1,164,
"BA0078","Mortimer Mine","BA0078-07283","Mortimer Mine (Mortimer Prospect; Iron Mountain Mining Co.)",1,165,
"BA0081","Thorson Silica Deposit","BA0081-05442","Thorson Silica Deposit (Jerry Nos. 1, 2, & 3)",1,169,
"BA0081","Jerry Nos. 1, 2, & 3","BA0081-10829","Thorson Silica Deposit (Jerry Nos. 1, 2, & 3)",2,170,
"BA0082","Gold Prospect","BA0082-04074","Gold Prospect",1,171,
"BA0083","Gabbro Prospect","BA0083-03682","Gabbro Prospect",1,172,
"BA0084","Skarn Prospect","BA0084-09923","Skarn Prospect",1,173,
"BA0085","East Fork of Mann Creek Prospect","BA0085-03110","East Fork of Mann Creek Prospect",1,174,
"BA0086","Columbine Gypsum","BA0086-02222","Handy Mine (Rock Creek; Columbine Gypsum)",3,175,
"BA0086","Handy Mine","BA0086-04529","Handy Mine (Rock Creek; Columbine Gypsum)",1,176,
"BA0086","Rock Creek","BA0086-09183","Handy Mine (Rock Creek; Columbine Gypsum)",2,177,
"BA0087","Donoho","BA0087-02931","Donoho (Donoho-Toll)",1,178,
"BA0087","Donoho-Toll","BA0087-02932","Donoho (Donoho-Toll)",2,179,
"BA0088","Lost Lake Mine","BA0088-06349","Lost Lake Mine",1,180,
"BA0089","Galena Mine","BA0089-03699","Galena Mine",1,181,
"BA0090","Anderson Group","BA0090-00271","Anderson Group",1,182,
"BA0091","Crane Creek","BA0091-02500","Crane Creek",1,183,
"BA0092","Bear Creek","BA0092-00610","Bear Creek",1,184,
"BA0093","Chipman","BA0093-01983","Chipman",1,185,
"BA0094","Corrieg & Telluride","BA0094-02447","Corrieg & Telluride",1,186,
"BA0095","Kearns","BA0095-05610","Kearns",1,187,
"BA0096","Legal Tender","BA0096-05956","Legal Tender",1,188,
"BA0097","Crescent","BA0097-02515","Crescent",1,189,
"BA0098","Oregon","BA0098-07964","Oregon",1,190,
"BA0099","Jackley","BA0099-05377","Jackley",1,191,
"BA0100","Johnson","BA0100-05496","Johnson",1,192,
"BA0101","Manganese Mtns.","BA0101-06667","Manganese Mtns. (New Meadows Manganese Deposit)",1,193,
"BA0101","New Meadows Manganese Deposit","BA0101-07539","Manganese Mtns. (New Meadows Manganese Deposit)",2,194,
"BA0102","Rose Marie Prospect","BA0102-09240","Rose Marie Prospect",1,195,
"BA0103","Vick Creek","BA0103-12192","Vick Creek",1,196,
"BA0104","Burnt Rock Prospect","BA0104-01586","Burnt Rock Prospect (Orville Manley)",1,197,
"BA0104","Orville Manley","BA0104-08016","Burnt Rock Prospect (Orville Manley)",2,198,
"BA0105","Victory Placer","BA0105-09303","Ruby Placer (Victory Placer)",2,199,
"BA0105","Ruby Placer","BA0105-12205","Ruby Placer (Victory Placer)",1,200,
"BA0106","Boise","BA0106-01255","Rock Flat Placer (Ruby; Boise)",3,201,
"BA0106","Rock Flat Placer","BA0106-09187","Rock Flat Placer (Ruby; Boise)",1,202,
"BA0106","Ruby","BA0106-09285","Rock Flat Placer (Ruby; Boise)",2,203,
"BA0107","Unnamed prospect","BA0107-11676","Unnamed prospect",1,205,
"BA0108","Unnamed location","BA0108-11164","Unnamed location",1,206,
"BA0109","Boulder Creek Placer","BA0109-01345","Boulder Creek Placer",1,207,
"BA0110","Lake Fork Creek","BA0110-05798","Lake Fork Creek",1,208,
"BA0111","Jacobs Property","BA0111-05389","Jacobs Property (Jacobs Quartz)",1,209,
"BA0111","Jacobs Quartz","BA0111-05390","Jacobs Property (Jacobs Quartz)",2,210,
"BA0112","Unnamed prospect","BA0112-11484","Unnamed prospect",1,211,
"BA0113","Granite Queen Property","BA0113-04321","Granite Queen Property",1,212,
"BA0114","Black Horse Group","BA0114-00986","Black Horse Group",1,213,
"BA0115","Stite's Prospect","BA0115-00045","Stite's Prospect (Acorn Claim)",1,214,
"BA0115","Acorn Claim","BA0115-10451","Stite's Prospect (Acorn Claim)",2,215,
"BA0116","Mica Queen Mine","BA0116-06959","Mica Queen Mine",1,216,
"BA0117","Rinehart Group","BA0117-09126","Rinehart Group",1,217,
"BA0118","Tungmarie Nos. 2 & 5","BA0118-11030","Tungmarie Nos. 2 & 5",1,218,
"BA0119","West Mountain Placers","BA0119-12455","West Mountain Placers",1,219,
"BA0120","Gold Fork Placer","BA0120-04004","Gold Fork Placer",1,220,
"BA0121","Ridgenall and Adams","BA0121-09120","Ridgenall and Adams",1,221,
"BA0122","Beaver Creek","BA0122-00648","Beaver Creek",1,222,
"BA0123","Van Wych Lookout","BA0123-07600","No Name (Van Wych Lookout)",2,223,
"BA0123","No Name","BA0123-12151","No Name (Van Wych Lookout)",1,224,
"BA0124","Brush Creek Placer","BA0124-01463","Brush Creek Placer",1,225,
"BA0125","Hurd Creek","BA0125-05009","Maloney Group (Hurd Creek)",2,226,
"BA0125","Maloney Group","BA0125-06639","Maloney Group (Hurd Creek)",1,227,
"BA0126","Clear Creek","BA0126-02085","Clear Creek",1,228,
"BA0127","Lucky Star Mine","BA0127-06506","Lucky Star Mine",1,229,
"BA0128","Indian Valley Diatomite Occurrence","BA0128-05253","Indian Valley Diatomite Occurrence",1,230,
"BA0129","Turley Property","BA0129-11042","Turley Property",1,231,
"BA0130","Unnamed mine","BA0130-11419","Unnamed mine",1,232,
"BA0131","Morrow Property","BA0131-07282","Morrow Property",1,233,
"BA0132","Jerry No. 1 Mine","BA0132-05441","Jerry No. 1 Mine",1,234,
"BA0133","Diatomite Occurrence","BA0133-02850","Diatomite Occurrence",1,235,
"BA0134","Catrock","BA0134-01833","Diatomite Mine (Catrock)",2,236,
"BA0134","Diatomite Mine","BA0134-02840","Diatomite Mine (Catrock)",1,237,
"BA0135","Diatomite Occurrence","BA0135-02855","Diatomite Occurrence",1,238,
"BA0136","Diatomite Occurrence","BA0136-02851","Diatomite Occurrence",1,239,
"BA0137","Ellis Ranch Diatomite Prospect","BA0137-03251","Ellis Ranch Diatomite Prospect",1,240,
"BA0138","Unnamed location","BA0138-11161","Unnamed location",1,241,
"BA0139","Thirsty Mountain-Haystack Mountain","BA0139-10792","Thirsty Mountain-Haystack Mountain",1,242,
"BA0140","Idaho-Oregon Coal Co.","BA0140-05164","Idaho-Oregon Coal Co.",1,243,
"BA0141","Clay Occurrence","BA0141-02070","Clay Occurrence",1,244,
"BA0142","Indian Head Calcite","BA0142-05246","Indian Head Calcite",1,245,
"BA0143","Shale Bed Prospect","BA0143-09532","Shale Bed Prospect",1,246,
"BA0144","Clay Occurrence","BA0144-02069","Clay Occurrence",1,247,
"BA0145","Indian Head","BA0145-05245","Indian Head",1,248,
"BA0146","Idaho Clay Products Co.","BA0146-05069","Idaho Clay Products Co.",1,249,
"BA0147","Olds Perry Placer","BA0147-07899","Olds Perry Placer",1,250,
"BA0148","Blue Dog","BA0148-01157","Blue Dog",1,251,
"BA0149","Monroe Creek Tuff Deposit","BA0149-07166","Monroe Creek Tuff Deposit",1,252,
"BA0150","Tip Top","BA0150-07112","Modock Mine (Tip Top)",2,253,
"BA0150","Modock Mine","BA0150-10879","Modock Mine (Tip Top)",1,254,
"BA0151","Coats","BA0151-02151","John Coats Prospect (Coats)",2,255,
"BA0151","John Coats Prospect","BA0151-05484","John Coats Prospect (Coats)",1,256,
"BA0152","Diatomite Occurrence","BA0152-02854","Diatomite Occurrence",1,257,
"BA0153","Consolidated Properties","BA0153-02301","Consolidated Properties (Consolidated Quicksilver Claims; Hoover; WD-VAR Prospect)",1,258,
"BA0153","Consolidated Quicksilver Claims","BA0153-02302","Consolidated Properties (Consolidated Quicksilver Claims; Hoover; WD-VAR Prospect)",2,259,
"BA0153","Hoover","BA0153-04898","Consolidated Properties (Consolidated Quicksilver Claims; Hoover; WD-VAR Prospect)",3,260,
"BA0154","Unnamed location","BA0154-11201","Unnamed location",1,261,
"BA0155","Clay Occurrence","BA0155-02072","Clay Occurrence",1,262,
"BA0156","Pioneer Drilling Corp","BA0156-08429","Pioneer Drilling Corp",1,263,
"BA0157","Bristol Northwest Silica","BA0157-01404","Bristol Northwest Silica",1,264,
"BA0158","Rocky Bar Placer","BA0158-09210","Rocky Bar Placer",1,265,
"BA0159","Diatomite Occurrence","BA0159-02849","Diatomite Occurrence",1,266,
"BA0160","Weiser Silica Prospect","BA0160-12401","Weiser Silica Prospect",1,267,
"BA0161","Diatomite Occurrence","BA0161-02843","Diatomite Occurrence",1,268,
"BA0162","Clay Occurrence","BA0162-02073","Clay Occurrence",1,269,
"BA0163","Zucker Property","BA0163-04648","Helen Zucker Prospect (Zucker Property; Parker Group)",1,270,
"BA0163","Helen Zucker Prospect","BA0163-08154","Helen Zucker Prospect (Zucker Property; Parker Group)",2,271,
"BA0163","Parker Group","BA0163-12839","Helen Zucker Prospect (Zucker Property; Parker Group)",3,272,
"BA0164","Idaho-Almaden Mine","BA0164-05156","IIdaho Almaden Mine (Idaho-Almaden Mine; Nut Meg; Osa Anna; Nutmeg)",1,273,
"BA0164","Nut Meg","BA0164-07788","Idaho Almaden Mine (Idaho-Almaden Mine; Nut Meg; Osa Anna; Nutmeg)",2,274,
"BA0164","Nutmeg","BA0164-07789","Idaho Almaden Mine (Idaho-Almaden Mine; Nut Meg; Osa Anna; Nutmeg)",4,275,
"BA0164","Osa Anna","BA0164-08017","Idaho Almaden Mine (Idaho-Almaden Mine; Nut Meg; Osa Anna; Nutmeg)",3,276,
"BA0165","Nutmeg Mtn.","BA0165-07790","Nutmeg Mtn.",1,277,
"BA0166","March Group","BA0166-06688","March Group",1,278,
"BA0167","Curl","BA0167-02592","Edgemont Group (Curl; Midland)",2,279,
"BA0167","Edgemont Group","BA0167-03153","Edgemont Group (Curl; Midland)",1,280,
"BA0167","Midland","BA0167-06984","Edgemont Group (Curl; Midland)",3,281,
"BA0168","Consolidated Rare Metals Corp.","BA0168-02303","Consolidated Rare Metals Corp.",1,282,
"BA0169","Cherry Gulch Oil & Gas Company","BA0169-01937","Cherry Gulch Oil & Gas Company",1,283,
"BA0170","Daniel No. 2 Well","BA0170-02655","Daniel No. 2 Well",1,284,
"BA0171","Diatomite Occurrence","BA0171-02848","Diatomite Occurrence",1,285,
"BA0172","Associated Oil & Gas Company of the Crystal Dome Structure","BA0172-00385","Associated Oil & Gas Company of the Crystal Dome Structure",1,286,
"BA0174","Weiser Sand Hollow","BA0174-09420","Sand Hollow Prospect (Weiser Sand Hollow)",2,287,
"BA0174","Sand Hollow Prospect","BA0174-12400","Sand Hollow Prospect (Weiser Sand Hollow)",1,288,
"BA0175","Diatomite Occurrence","BA0175-02844","Diatomite Occurrence",1,289,
"BA0176","Diatomite Occurrence","BA0176-02847","Diatomite Occurrence",1,290,
"BA0177","Idaho-Oregon Oil & Gas Co.","BA0177-05165","Idaho-Oregon Oil & Gas Co.",1,291,
"BA0178","Jensen Brick Co.","BA0178-05428","Jensen Clay Mine (Jensen Brick Co.)",2,292,
"BA0178","Jensen Clay Mine","BA0178-05429","Jensen Clay Mine (Jensen Brick Co.)",1,293,
"BA0179","Idaho Oil & Gas Co.","BA0179-05113","Idaho Oil & Gas Co. (Idaho-Oregon Petroleum Corp.)",1,294,
"BA0179","Idaho-Oregon Petroleum Corp.","BA0179-05166","Idaho Oil & Gas Co. (Idaho-Oregon Petroleum Corp.)",2,295,
"BA0180","Oregon Oil and Gas Co.","BA0180-07967","Oregon Oil and Gas Co.",1,296,
"BA0181","Clay Pit","BA0181-02076","Clay Pit",1,297,
"BA0182","Rock Quarry Mine","BA0182-09193","Rock Quarry Mine",1,298,
