"ID","Reference_ID","Metric","AuthorType","LastName","Initials","FirstName","Suffix","in"
491,685,1,1,"Mitchell",,,,FALSE
492,686,1,1,"Mitchell",,,,FALSE
493,687,1,1,"Mitchell",,,,FALSE
494,688,1,1,"Mitchell",,,,FALSE
495,689,1,1,"Mitchell",,,,FALSE
496,690,1,1,"Mitchell",,,,FALSE
497,691,1,1,"Mitchell",,,,FALSE
498,692,1,1,"Mitchell",,,,FALSE
499,693,1,1,"Mitchell",,,,FALSE
500,694,1,1,"Mitchell",,,,FALSE
501,695,1,1,"Mitchell",,,,FALSE
502,696,1,1,"Mitchell",,,,FALSE
503,697,1,1,"Mitchell",,,,FALSE
504,698,1,1,"Mitchell",,,,FALSE
505,699,1,1,"Mitchell",,,,FALSE
506,700,1,1,"Mitchell",,,,FALSE

The free trial of MDB ACCDB Viewer exports only half of the records in each table.
