"IndexedObjectId","MinGX","MinGY","MaxGX","MaxGY"
4321,254715135,1277780700,254715135,1277780700
4322,254423466,1275473269,254423466,1275473269
4323,254464534,1275482837,254464534,1275482837
4324,260426178,1274640321,260426178,1274640321
4325,252933520,1276324000,252933520,1276324000
4326,252912966,1276309895,252912966,1276309895
4327,252876603,1276160813,252876603,1276160813
4328,252801897,1276318921,252801897,1276318921
4329,252912966,1276292405,252912966,1276292405
4330,252935892,1276289021,252935892,1276289021
4331,252882136,1276273788,252882136,1276273788
4332,252906247,1276276609,252906247,1276276609
4333,252918500,1276274917,252918500,1276274917
4334,252918500,1276262506,252918500,1276262506
4335,252851305,1276264198,252851305,1276264198
4336,252862333,1276247388,252862333,1276247388
4337,252888697,1276250096,252888697,1276250096
4338,252856839,1276246711,252856839,1276246711
4339,252857946,1276240675,252857946,1276240675
4340,252873836,1276234358,252873836,1276234358
4341,252914943,1276245583,252914943,1276245583
4342,252962256,1276264199,252962256,1276264199
4343,252937078,1276228098,252937078,1276228098
4344,252951308,1276220201,252951308,1276220201
4345,252810712,1276211006,252810712,1276211006
4346,252805060,1276203279,252805060,1276203279
4347,252814942,1276199895,252814942,1276199895
4348,252827195,1276201587,252827195,1276201587
4349,252852452,1276203111,252852452,1276203111
4350,252833914,1276190308,252833914,1276190308
4351,252930359,1276182977,252930359,1276182977
4352,252888698,1276176435,252888698,1276176435
4353,252845772,1276176209,252845772,1276176209
4354,252846958,1276168877,252846958,1276168877
4355,252812966,1276170005,252812966,1276170005
4356,252801898,1276166114,252801898,1276166114
4357,252817314,1276151395,252817314,1276151395
4358,252842611,1276133915,252842611,1276133915
4359,252869094,1276131096,252869094,1276131096
4360,252893521,1276131604,252893521,1276131604
4361,252862374,1276112489,252862374,1276112489
4362,252888857,1276104595,252888857,1276104595
4363,252804270,1276124893,252804270,1276124893
4364,252817314,1276107414,252817314,1276107414
4365,252793163,1276109105,252793163,1276109105
4366,252760396,1276095009,252760396,1276095009
4367,252738261,1276118520,252738261,1276118520
4368,252714111,1276107525,252714111,1276107525
4369,252809804,1276077532,252809804,1276077532
4370,252827552,1276088075,252827552,1276088075
4371,252779409,1276036378,252779409,1276036378
4372,252749250,1276076234,252749250,1276076234
4373,252809528,1276065298,252809528,1276065298
4374,252822848,1276046526,252822848,1276046526
4375,252830833,1276054249,252830833,1276054249
4376,252821386,1276033729,252821386,1276033729
4377,252943404,1276024542,252943404,1276024542
4378,252750634,1276042071,252750634,1276042071
4379,252743756,1276029219,252743756,1276029219
4380,252725732,1276008757,252725732,1276008757
4381,252760397,1275980576,252760397,1275980576
4382,252854945,1275912895,252854945,1275912895
4383,249395086,1278916976,249395086,1278916976
4384,249454376,1278865214,249454376,1278865214
4385,249466235,1278808342,249466235,1278808342
4386,249533431,1278656545,249533431,1278656545
4387,250041743,1278465628,250041743,1278465628
4388,250084432,1278443475,250084432,1278443475
4389,250023168,1278295259,250023168,1278295259
4390,249806563,1278248137,249806563,1278248137
4391,249980085,1278210108,249980085,1278210108
4392,249863877,1278191377,249863877,1278191377
4393,249836525,1278161071,249836525,1278161071
4394,249863878,1278131222,249863878,1278131222
4395,249869412,1278104553,249869412,1278104553
4396,249863879,1278039876,249863879,1278039876
4397,249882457,1278009812,249882457,1278009812
4398,250033052,1278038176,250033052,1278038176
4399,249916450,1277971810,249916450,1277971810
4400,250001037,1277964438,250001037,1277964438
4401,250736613,1278904476,250736613,1278904476
4402,250826734,1278837929,250826734,1278837929
4403,250884838,1278833380,250884838,1278833380
4404,250758750,1278741829,250758750,1278741829
4405,251214095,1278727621,251214095,1278727621
4406,251276944,1278511089,251276944,1278511089
4407,251330700,1278486092,251330700,1278486092
4408,251388844,1278443489,251388844,1278443489
4409,251693943,1278950565,251693943,1278950565
4410,251645726,1278476438,251645726,1278476438
4411,251583275,1278375905,251583275,1278375905
4412,251682092,1278356599,251682092,1278356599
4413,251709365,1278367956,251709365,1278367956
4414,252223202,1278923264,252223202,1278923264
4415,252933654,1278610772,252933654,1278610772
