"ID","Reference_ID","Metric","AuthorType","LastName","Initials","FirstName","Suffix","in"
127,684,1,1,"Mitchell",,,,FALSE
128,685,1,1,"Mitchell",,,,FALSE
129,686,1,1,"Mitchell",,,,FALSE
130,687,1,1,"Mitchell",,,,FALSE
131,688,1,1,"Mitchell",,,,FALSE
132,689,1,1,"Mitchell",,,,FALSE
133,690,1,1,"Mitchell",,,,FALSE
134,691,1,1,"Mitchell",,,,FALSE
135,692,1,1,"Mitchell",,,,FALSE
136,693,1,1,"Mitchell",,,,FALSE
137,694,1,1,"Mitchell",,,,FALSE
138,695,1,1,"Mitchell",,,,FALSE
139,696,1,1,"Mitchell",,,,FALSE
140,697,1,1,"Mitchell",,,,FALSE
141,698,1,1,"Mitchell",,,,FALSE
142,699,1,1,"Mitchell",,,,FALSE
143,700,1,1,"Mitchell",,,,FALSE
144,701,1,1,"Mitchell",,,,FALSE
145,702,1,1,"Mitchell",,,,FALSE
146,703,1,1,"Mitchell",,,,FALSE
147,704,1,1,"Mitchell",,,,FALSE
148,705,1,1,"Mitchell",,,,FALSE
149,706,1,1,"Mitchell",,,,FALSE
150,707,1,1,"Mitchell",,,,FALSE
151,708,1,1,"Mitchell",,,,FALSE
152,709,1,1,"Mitchell",,,,FALSE
153,710,1,1,"Mitchell",,,,FALSE
154,711,1,1,"Mitchell",,,,FALSE
155,712,1,1,"Mitchell",,,,FALSE
156,713,1,1,"Mitchell",,,,FALSE
157,841,1,1,"Piper and Laney",,,,FALSE
158,846,1,1,"Powers",,,,FALSE
159,850,1,1,"Prater",,,,FALSE
160,857,1,1,"Reed",,,,FALSE
161,858,1,1,"Reed",,,,FALSE
162,859,1,1,"Reed",,,,FALSE
163,863,1,1,"Reid",,,,FALSE
164,865,1,1,"Reid",,,,FALSE
165,874,1,1,"Ross",,,,FALSE
166,875,1,1,"Ross",,,,FALSE
167,876,1,1,"Ross",,,,FALSE
168,879,1,1,"Ross",,,,FALSE
169,890,1,1,"Sampson","E.",,,FALSE
170,892,1,1,"Savage",,,,FALSE
