"KeyField","RecordID","MapLoc","PropertyName","LastUpdated","Action_taken","Notes","Notes2"
71,"CH0354","CH0354","Kwajalein","1999-08-12 00:00:00","Added Production Data","Added Production data as per records:  Ore: A ton    Commod: Ag: B oz; Cu: E lbs; Pb: C lbs  And PeriodProd: 1951",
72,"CH0358","CH0358","Jordan","1999-08-12 00:00:00","Added Production Data","Added Production data as per records:  PeriodProd:  1941, 1947, 1955  Ore:  C ton   Commod: Au: C oz; Ag: E oz",
73,"CH0363","CH0363","Golden Sunbeam Mine","1999-08-12 00:00:00","Corrected Production Data","Changed ore values in appropriate fields as per records:  Ore G to A ton",
74,"CH0369","CH0369","Ramshorn Mine","1999-08-12 00:00:00","Corrected Production Data","Changed ore and commod fields as per records:  Ore:  A to G ton",
75,"CH0050","CH0050","Dewey Mine","1999-08-12 00:00:00","Changed Production Data","Changed Ore Value as per records.  It was listed as ""E yds, actually ""H"" yds     /d yds",
76,"CH0069","CH0069","Sunnyside Mine","1999-08-12 00:00:00","Changed Production Data","Changed Ore Value as per records from ""E"" yds to ""G yds/A yds""",
77,"CH0430","CH0430","Lucky Boy Mine","1999-08-12 00:00:00","Changed Production Data","Changed Ore Value from A ton/G ton to H ton/G ton.",
78,"CH0531","CH00531","Silver Rule Mine","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1914, 1948, 1949;  Ore: A ton;   Commod: Au: A oz; Ag: E oz; Cu: D lbs;Pb: G lbs; Zn: E lbs",
79,"CH0654","CH00654","Warm Springs Ccreek","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1939;   Ore:  A ton;  Commod:  Ag: A oz; Pb: C lbs; Zn",
80,"CH0664","CH00664","Eureka Silver King","1999-08-12 00:00:00","Added Production Data","Added Prod data as per records:  PeriodProd 1948, 1950, 1957;    Ore B ton;   Commod:  Au: A oz; Ag: G oz; Cu: C lbs; Pb: E lbs",
