"KeyField","RecordID","MapLoc","PropertyName","LastUpdated","Action_taken","Notes","Notes2"
727,"WL0058","WL0058","Pilot Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
728,"WL0124","WL0124","Vendetta Chief Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
729,"WL0075","WL0075","Golden Chest Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
730,"WL0072","WL0072","Four Square Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
731,"WL0065","WL0065","King Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
732,"SP0018","SP0018","Conjecture Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
733,"SP0019","SP0019","Idaho Lakeview Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
734,"SP0025","SP0025","Weber Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
735,"SP0021","SP0021","Keep Cool Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
736,"SP0024","SP0024","New Rainbow","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
737,"SP0006","SP0006","Vulcan Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
738,"SP0009","SP0009","Blanket Lead","2001-10-03 00:00:00","synonym deleted","""Argus"" deleted as synonym based on information in IGS's mineral property files.",
739,"SP0006","SP0006","Vulcan Mine","2001-10-03 00:00:00","synonym added","""Argus"" added as synonym based on information in IGS's mineral property files.",
740,"SP0013","SP0013","Hidden Treasure Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
741,"SP0004","SP0004","Blue Slide Lime Placer","2001-10-03 00:00:00","name changed","Name changed to ""Blue Lime Placer"" and former name (""Squaw Bay Limestone) deleted, based on information in Renk (1985).",
742,"SP0004","SP0004","Blue Slide Lime Placer","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
743,"SP0010","SP0010","Lakeview Limestone Quarries","2001-10-03 00:00:00","name modified","""Limestone Quarries"" added to name, based on information in AML site inspection report.",
744,"SP0010","SP0010","Lakeview Limestone Quarries","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
745,"SP0009","SP0009","Blanket Lead","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
746,"SP0001","SP0001","Twin Creek Lime Quarry","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
747,"SP0014","SP0014","Max Dunn Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
748,"SP0015","SP0015","Wiberg","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
749,"SP0016","SP0016","Silver Leaf Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
750,"SP0017","SP0017","Perry Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
751,"SP0022","SP0022","Princess Panama","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
752,"SP0023","SP0023","Bellville Prospect","2001-10-03 00:00:00","References updated","AML site inspection report added to references.",
753,"SP0027","SP0027","Rennie Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
754,"SP0020","SP0020","Lone Hand Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
755,"SP0007","SP0007","Vulcan Mine -- lower cross-cut","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
756,"WL0159","WL0159","Carlisle Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
757,"SP0087","SP0087","Empire Copper Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
758,"SP0133","SP0133","Terror Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
759,"SP0147","SP0147","St. Joe No. 1-2","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
760,"WL0202","WL0202","St. Joe Quartz Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
761,"WL0197","WL0197","Blue Sky","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
762,"SP0286","SP0286","National Mine","2001-10-12 00:00:00","references updated","AML site inspection reports added to references.",
763,"SP0054","SP0054","Silver Strand","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
764,"WL0361","WL0361","Snowstorm Apex Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
765,"WL0378","WL0378","Snowstorm No. 1-2","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
766,"WL0396","WL0396","Snowstorm Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
767,"WL0400","WL0400","Snowstorm No. 4","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
768,"WL0374","WL0374","Snowshoe Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
769,"WL0356","WL0356","Lucky Calumet Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
770,"WL0367","WL0367","National Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
771,"WL0336","WL0336","Missoula Copper Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
772,"WL0318","WL0318","Copper King Mine-upper workings","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
773,"WL0345","WL0345","Copper King Mine-lower workings","2001-10-03 00:00:00","references updated","AML site inspeciton report added to references.",
774,"WL0460","WL0460","Reindeer Queen","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
775,"WL0179","WL0179","Red Monarch Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
776,"WL0125","WL0125","Pony Gulch","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
777,"SP0296","SP0296","Lucky Boy Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
778,"WL0433","WL0433","Beacon Light","2001-10-03 00:00:00","references updated","AML site inspection reports added to references.",
779,"SP0099","SP0099","Caribou Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
780,"SP0106","SP0106","Gray Wolf Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
781,"SP0111","SP0111","Silver Tip Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
782,"SP0093","SP0093","Blue Goose Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
783,"SP0119","SP0119","Dickens Consolidated","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
784,"SP0033","SP0033","Cedar Mountain","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
785,"WL0012","WL0012","Columbus","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
786,"WL0044","WL0044","Buckskin Gold and Silver Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
787,"WL0034","WL0034","Golden Dream Claims","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
788,"WL0051","WL0051","Liberty","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
789,"WL0620","WL0620","Lucky Gulch & Jno. Myers Claim Adit","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
790,"WL0045","WL0045","Daisy-Volunteer","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
791,"WL0017","WL0017","Eagle Creek","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
792,"WL0122","WL0122","Lucky Four","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
793,"WL0112","WL0112","St. Peter","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
794,"WL0015","WL0015","Unnamed location","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
795,"WL0171","WL0171","C and R Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
796,"WL0006","WL0006","Samson","2001-10-03 00:00:00","reference changed","Reference changed to AML site inspection report from ""No reference.""",
797,"WL0048","WL0048","Buckeye Boy Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
798,"WL0059","WL0059","Hawkins","2001-10-03 00:00:00","updated references","AML site inspection report added to references.",
799,"WL0002","WL0002","Kelly Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
800,"WL0038","WL0038","Albarta","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
801,"WL0056","WL0056","Badger","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
802,"WL0070","WL0070","Chester Consolidated Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
803,"WL0111","WL0111","Gold Cliff","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
804,"WL0068","WL0068","Mountain Lion Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
805,"WL0127","WL0127","Phoenix Property","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
806,"WL0010","WL0010","Snowshoe","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
807,"WL0018","WL0018","United States Silver-Lead","2001-10-03 00:00:00","references updated","AML site inspection repot added to references.",
808,"WL0013","WL0013","Gold Rock","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
809,"WL0009","WL0009","Oneill Group","2001-10-03 00:00:00","reference changed","reference changed from ""No reference"" to AML site inspection report.",
810,"WL0025","WL0025","Porphyry Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
811,"WL0080","WL0080","Flagstaff","2001-10-03 00:00:00","references updated","AML site inspection report added to references [property not examined].",
812,"WL0083","WL0083","Crown Point","2001-10-03 00:00:00","references updated","AML site inspection report added to references [property not examined].",
813,"SP0117","SP0117","Washington-Idaho Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
814,"SP0045","SP0045","Commonwealth Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
815,"SP0042","SP0042","Shamrock Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
816,"SP0035","SP0035","Bradbury Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
817,"SP0053","SP0053","Burnt Cabin Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
818,"SP0077","SP0077","North Fork Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
819,"SP0271","SP0271","Bismarck Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
820,"SP0277","SP0277","Silver Dale and Big Hill Mine","2001-10-12 00:00:00","references updated","AML site inspection report sadded to references.",
821,"SP0297","SP0297","Royal Apex Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
822,"WL0221","WL0221","Capital Silver-Lead No. 2","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
823,"WL0358","WL0358","Lewis & Clark Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
824,"WL0236","WL0236","Silver Rock","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
825,"WL0182","WL0182","Flagstaff Mining Co., Ltd.","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
826,"WL0304","WL0304","Blue Ribbon","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
827,"WL0223","WL0223","New Hope Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
828,"WL0226","WL0226","Hardscrabble Group","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
829,"SP0125","SP0125","Royal Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
830,"WL0326","WL0326","Silverton Prospect-upper adit","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
831,"WL0459","WL0459","Argenta Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
832,"SP0121","SP0121","Silver Crescent Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
833,"WL0263","WL0263","May Claim Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
834,"WL0444","WL0444","Banner Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
835,"WL0445","WL0445","Central Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
836,"WL0446","WL0446","Little Giant Prospect","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
837,"WL0448","WL0448","Carbonate Hill Mine","2001-10-03 00:00:00","references updated","AML site inspection report added to references.",
838,"WL0467","WL0467","Copper Queen","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
839,"SP0127","SP0127","Moon Creek Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
840,"SP0252","SP0252","Rockford Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
841,"SP0154","SP0154","Rhode Island Prospect","2001-10-12 00:00:00","references updated","AML site inspection reports added to references.",
842,"WL0447","WL0447","No Name Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
843,"WL0471","WL0471","Vienna-International","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
844,"WL0145","WL0145","Highlands Aurora Property","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
845,"WL0143","WL0143","Belmont-Banner Mining Co.","2001-10-12 00:00:00","references updaated","AML site inspection report added to references.",
846,"WL0094","WL0094","California Gulch Prospect","2001-10-12 00:00:00","primary name changed","primary name changed to ""California Gulch Prospect"" and former primary name (""California Gulch Placer"") demoted to synonym, based on information in AML site inspection report.",
847,"WL0094","WL0094","California Gulch Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
848,"SP0055","SP0055","Rainbow No. 2 Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
849,"SP0058","SP0058","Twin Gulch","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
850,"SP0134","SP0134","Red Horse Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
851,"SP0065","SP0065","Homebuilder Property","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
852,"SP0062","SP0062","Idaho Chain Link","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
853,"SP0103","SP0103","Blue Bird Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references",
854,"SP0287","SP0287","Idaho Leadville Mines Co. Prospect","2001-10-12 00:00:00","references updated","AML site inspection reports added to references.",
855,"WL0098","WL0098","Rooster Goose Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
856,"WL0238","WL0230","Mammoth Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
857,"WL0203","WL0203","Dobson Pass Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
858,"WL0162","WL0162","Dudley Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
859,"SP0046","SP0046","Unnamed location","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
860,"SP0132","SP0132","Unnamed location","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
861,"WL0439","WL0439","Princeton-Magna","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
862,"WL0252","WL0252","West Mammoth Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
863,"WL0415","WL0415","Idaho Silver Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
864,"WL0404","WL0404","Silver Cable Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
865,"WL0335","WL0335","Silverton Prospect-lower adit","2001-10-12 00:00:00","references updated","AML site inspeciton report added to references.",
866,"SP0003","SP0003","Ordway Tungsten","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
867,"SP0032","SP0032","Lost Stand","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
868,"SP0034","SP0034","Tom Levin Creek Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
869,"SP0036","SP0036","Buckles","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
870,"SP0037","SP0037","Rock City Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
871,"SP0038","SP0038","Two Brothers Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
872,"SP0039","SP0039","Lucky Bud Claim","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
873,"SP0040","SP0040","Connie Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
874,"SP0041","SP0041","RM","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
875,"SP0044","SP0044","Lower Property","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
876,"SP0048","SP0048","Big Elk Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
877,"SP0049","SP0049","Unnamed location","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
878,"SP0057","SP0057","Hamburg-American Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
879,"SP0061","SP0061","Brower","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
880,"SP0083","SP0083","Kootenai King","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
881,"SP0092","SP0092","Lost Cabin Mine","2001-10-12 00:00:00","references updated","AML site inspection map added to references.",
882,"SP0098","SP0098","Blue Fox","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
883,"SP0101","SP0101","McGillivray Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
884,"SP0102","SP0102","Blue Jay","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
885,"SP0108","SP0108","King Solomon Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
886,"SP0115","SP0115","Maine-Standard","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
887,"SP0274","SP0274","Wolfson Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
888,"SP0309","SP0309","Bonanza Gold, Inc.","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
889,"WL0176","WL0176","Capitol Silver-Lead No. 1","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
890,"WL0204","WL0204","Silver Mint Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
891,"WL0206","WL0206","Best Chance","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
892,"WL0213","WL0213","Belmont Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
893,"WL0220","WL0220","Burke","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
894,"WL0228","WL0228","Temple Mining Co., Ltd.","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
895,"WL0240","WL0240","Homestake Silver-Lead Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
896,"WL0277","WL0277","Burke Property Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
897,"WL0282","WL0282","Champion Gold and Silver Mine","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
898,"WL0292","WL0292","Silverore-Inspiration","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
899,"WL0417","WL0417","Coeur d'Alene Silver Lead Mining Co.","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
900,"WL0450","WL0450","Carney Nos. 1-3","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
901,"WL0452","WL0452","Willow Creek","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
902,"WL0451","WL0451","Silver Crown Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
903,"WL0453","WL0453","Pioneer Mines, Inc., Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
904,"WL0456","WL0456","Idaho Copper","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
905,"WL0461","WL0461","Helvetia","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
906,"WL0465","WL0465","Nonpareil Group","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
907,"WL0468","WL0468","Tillicum Prospect","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
908,"WL0470","WL0470","Placer Creek","2001-10-12 00:00:00","references updated","AML site inspection report added to references.",
909,"WL0272","WL0272","Sonora Prospect","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
910,"WL0481","WL0606","Unnamed Prospect (B8129704)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
911,"WL0607","WL0607","Unnamed Prospect (B8129705)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
912,"WL0608","WL0608","Unnamed Prospect (B8129706)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
913,"WL0609","WL0609","Shirley Prospect (K7149811)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
914,"WL0610","WL0610","Unnamed Prospect (K7159802)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
915,"WL0611","WL0611","Unnamed Prospect (K7159803)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
916,"WL0612","WL0612","Unnamed Prospect (K7169801)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
917,"WL0613","WL0613","Unnamed Prospect (K7169802)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
918,"WL0614","WL0614","Bald Mountain Prospect (K7209801)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
919,"WL0615","WL0615","Manhattan Prospect (K7219801)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
920,"WL0616","WL0616","Copper Kopje Prospect (K7219802)","2001-10-12 00:00:00","property added","Property added from IGS's AML site inspection report.",
921,"WL0496","WL0496","Lucky Swede Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
922,"WL0497","WL0497","Pearson Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
923,"WL0491","WL0491","Sumner Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
924,"WL0478","WL0478","Park Copper Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
925,"WL0514","WL0514","Sailor Boy Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
926,"WL0512","WL0512","Silver Spray, Tunnel B","2001-10-16 00:00:00","property undeleted","This site, under its correct name, was restored to the database.",
927,"WL0506","WL0506","Silver Spray Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
928,"WL0512","WL0512","Silver Spray, Tunnel B","2001-10-16 00:00:00","references updated","AML site inspection report was added to references.  This site is discussed as part of the Silver Spray Prospect (Site No. WL-506).",
929,"WL0519","WL0519","Franklin Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
930,"WL0533","WL0533","Fishhook Creek Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
931,"WL0510","WL0510","Miller Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
932,"WL0517","WL0517","Idaho Star Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
933,"WL0516","WL0516","Hansy Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
934,"WL0515","WL0515","Mastodon Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
935,"WL0505","WL0505","Macedonia","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
936,"WL0489","WL0489","Bullion Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
937,"WL0493","WL0493","Fourth of July Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
938,"WL0484","WL0484","Wonderful Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
939,"WL0487","WL0487","Peacock Copper","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
940,"WL0500","WL0500","Alpina Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
941,"WL0501","WL0501","Alice Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
942,"WL0541","WL0541","Conrad's Crossing Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
943,"WL0540","WL0540","Bluff Creek Copper Claim","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
944,"WL0536","WL0536","St. Joe Quartz Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
945,"WL0503","WL0503","Big Elk Group","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
946,"WL0507","WL0507","Monitor Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
947,"WL0504","WL0504","Richmond Group","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
948,"WL0509","WL0509","Copper Edge Property","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
949,"WL0526","WL0526","Ward Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
950,"WL0538","WL0538","Black Bear Claim","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
951,"WL0535","WL0535","Eureka Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
952,"WL0523","WL0523","Setser Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
953,"SP0358","SP0358","Marble Creek Pegmatite","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
954,"SP0354","SP0354","Tri-State Cedar Corp. Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
955,"WL0558","WL0558","Granite Peak Prospects","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
956,"SA0308","SA0308","Unnamed Prospect (K8199802)","2001-10-16 00:00:00","property added","Property added from IGS's AML site inspection report.",
957,"SA0309","SA0309","Unnamed Prospect (K8249802)","2001-10-16 00:00:00","property added","Property added from IGS's AML site inspection report.",
958,"SA0310","SA0310","Unnamed Prospect (K8259803)","2001-10-16 00:00:00","property added","Property added from IGS's AML site inspection report.",
959,"SA0311","SA0311","Unnamed Prospect (K8269801)","2001-10-16 00:00:00","property added","Property added from IGS's AML site inspection report.",
960,"SA0114","SA0114","Milwaukee Mines Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
961,"SA0019","SA0019","McLean Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
962,"SA0025","SA0025","Unnamed location","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
963,"SA0108","SA0108","Idaho Copper Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
964,"SA0033","SA0033","Milwaukee Group","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
965,"SA0032","SA0032","Gem Copper Mining Co. Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
966,"SA0029","SA0029","Plowboy-Bluebell Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
967,"SA0031","SA0031","Kootenai No. 2 Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
968,"SA0105","SA0105","Nickel Plate Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
969,"SA0030","SA0030","Mountain Chief Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
970,"SA0028","SA0028","Unnamed location","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
971,"SA0118","SA0118","Woodrat Mine","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
972,"SA0144","SA0144","Pine Creek Prospects","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
973,"SA0149","SA0149","Camp Bird Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
974,"SA0123","SA0123","Binarch Creek","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
975,"SA0124","SA0124","Nevada Mines Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
976,"SA0134","SA0134","Lucky Lead Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
977,"SA0137","SA0137","Silver Mountain Prospect","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
978,"SA0140","SA0140","Quartz Creek Quartz Deposit","2001-10-16 00:00:00","references updated","AML site inspection report added to references.",
979,"HA0356","HA0356","Assault Mine","1999-03-09 00:00:00","data reassigned","Data for Hope Mine reassigned to HA-356.",
980,"SA0312","SA0312","Unnamed Prospect on Ruby Ridge (B7299801)","2001-10-18 00:00:00","property added","Property added from IGS's AML site inspection report.",
981,"SA0313","SA0313","McGinty Claim (B8139802)","2001-10-18 00:00:00","property added","Property added from IGS's AML site inspection report.",
