Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
PL  78	Yellowjacket #1 (Yellow Jacket #1; Jennifer)	46.8081	-116.3297	N/A	N/A	186
PL  86	Park Clay Occurrence 2	46.7469	-116.3814	160570115	W015956	92
PL 102	Ayer Deposit 1	46.7953	-117.0311	160570043	N/A	65
PL 104	Canfield Rogers Clay Deposit Mine (Rogers; Canfield-Rogers)	46.7553	-116.9803	160570004	W015920	67
PL 105	Christianson Placer (Howard Creek Placer)	46.7969	-116.9283	N/A	N/A	205
PL 106	White Cross Prospect	46.8	-116.9169	160570044	W015906	68
PL 107	Moscow Queen	46.7997	-116.8972	N/A	N/A	194
PL 108	Gnat Creek Placer (Washington; Spray; Emerson; Wigen; Hart)	46.7817	-116.9217	N/A	N/A	206
PL 109	Saad Mine	46.8133	-116.8581	N/A	N/A	187
PL 110	Paradise Ridge Silica Deposit (Paradise Mountain)	46.6822	-116.9686	160570068	W015919	77
PL 111	Joel Clay Mine	46.72	-116.8836	160570054	W015921	79
PL 112	Moscow Clay Pit	46.74	-116.8453	160570111	W015969	80
PL 113	East Moscow Mountain Prospect	46.7222	-116.8286	160570069	N/A	69
PL 114	Joel Quartz Occurrence	46.6906	-116.8642	160570110	W015966	78
PL 115	McKeehan Clay Mine	46.7425	-116.7664	160570055	W015922	81
PL 116	Carlson Clay Prospect (Watertrough; Flynn)	46.7344	-116.7572	160570056	W015923	82
PL 117	Little Bear Creek Clay Prospect	46.7161	-116.7517	160570059	W015926	83
PL 118	Clayton Mulalley	46.7822	-116.7281	160570090	N/A	70
PL 119	Benson Clay Deposit (Troy Firebrick Co.)	46.7719	-116.7108	160570045	W015907	71
PL 120	Johansen Clay Pit (Johnson Pit; Calen Ranch)	46.7714	-116.6986	160570046	N/A	173
PL 121	Linderman (Lindman)	46.7683	-116.6964	160570047	N/A	174
PL 122	O. K. Olson Prospect	46.7325	-116.6981	160570057	W015924	84
PL 123	Troy Mining & Milling Co.	46.7261	-116.6975	N/A	N/A	193
PL 124	Gemmill Prospect (Olson; Camp Canyon; Troy Gold and Copper)	46.7189	-116.6978	160570058	W015925	85
PL 125	Olson Clay Deposit (Olson and Stanford Hi-Al Clay)	46.7861	-116.6444	160570003	W015909	72
PL 126	Deary Prospect	46.7808	-116.6244	160570063	W015911	73
PL 127	High Iron Olson Clay Deposit (Dry Ridge)	46.7631	-116.6244	160570092	W015970	86
PL 128	Troy Sillimanite Co. Prospect (Olson)	46.7344	-116.6311	160570071	W015996	87
PL 129	Copper Chief Mine	46.7289	-116.6386	160570061	W015997	88
PL 130	Wild Rose Limestone	46.6703	-116.6117	160570112	W015965	89
PL 131	Deary Clay Prospect	46.8067	-116.5686	160570108	W015999	55
PL 132	Deary Clay Prospect (East Deary Clay Prospect)	46.7986	-116.5408	160570109	W015998	75
PL 133	Deary Clay Deposit (Big Bear Ridge)	46.7706	-116.5656	160570050	W015910	74
PL 134	Park Clay Occurrence 3	46.7342	-116.4731	160570113	W015967	90
PL 135	Park Clay Occurrence 1	46.73	-116.4364	160570114	W015957	91
PL 136	Pine Grove School Clay Deposit	46.5806	-116.7961	160570117	W015968	106
PL 145	Mason Butte Titanium Placer	46.6556	-116.4014	160570116	W015993	98
PL 146	Olson Prospect	46.6311	-116.4069	160570062	N/A	102
PL 149	Dicks Creek Placer (Dick Creek Placer)	46.6433	-116.3419	160350060	W015992	99
SP 378	Mountain Gulch Prospect	47.0295	-116.5185	160570118	W019405	171
SP 384	Idaho Garnet Abrasive Placer (Garnet Group)	47.0128	-116.3292	160570020	W019490	182
SP 385	Mary Lee Placer	47.0111	-116.5322	160570015	W019443	172
SP 386	Dollie F. Wolfe	47.0078	-116.5633	160790189	N/A	185
SP 387	Copper Occurrence	47.0072	-116.4786	160570121	W019532	178
SP 388	Taylor Placer Claim (Gold Nugget Mining Co.)	47.0056	-116.5389	160570018	W019545	173
SP 389	Black Dust Placer (Gold Nugget Mining Co.)	47.0044	-116.5419	160570016	W019530	174
SP 391	Behrens Brothers Placer (Upper North Fork Mine)	47.0036	-116.5344	160570119	W019531	175
SP 392	Enterprise Placer	47.0036	-116.5267	N/A	N/A	342
SP 394	Hecla Prospect	47.0036	-116.5039	160570120	W019404	177
SP 396	Hidden Treasure Placer (Gold Nugget Mining Co.)	47	-116.5431	160570017	W019543	176
