Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HM 199	Dutchman Creek Placer (Dutch Mill)	46.4056	-115.6819	160350041	W013042	87
HM 201	Gold Creek Placer	46.3892	-115.7281	160350042	W013046	88
HM 202	Allgood Prospect	46.3817	-115.8331	160350101	W019426	84
HM 204	Musselshell Creek Placer	46.3508	-115.7589	160350056	W013054	89
HM 205	Weippe Iron Deposit	46.3744	-115.9275	160350040	W026577	92
HM 211	Lolo Creek Placer	46.2889	-115.7611	160350140	W013049	95
PL  65	Bobs Creek Mica Occurrence (Bob Creek Mica)	46.8925	-116.3186	160350106	W015903	47
PL  75	Gold Eagle Prospect	46.8147	-116.3269	160350141	W015917	57
PL  76	Gold Hunter Prospect	46.8136	-116.3203	160350071	N/A	58
PL  79	Goldendale	46.8064	-116.3078	N/A	N/A	196
PL  80	Ruby Creek Mine (South Bell Group)	46.8111	-116.2969	160350069	W015914	61
PL  81	Walker Claims	46.8147	-116.2858	N/A	N/A	190
PL  82	Old Jackson Tunnel Prospect (Jackson; Neva Zinc and Lead)	46.8064	-116.2919	160350143	W015939	60
PL  83	Ruby Creek Prospect (Lower Ruby Creek)	46.8044	-116.3006	160350144	W015915	62
PL  84	Victoria Prospect (Brady Claims; Neva; George Brady Property)	46.8031	-116.3064	160350070	W015916	63
PL  85	Schermerhorn Placer	46.7844	-116.2758	N/A	N/A	216
PL  87	Clay Occurrence	46.7453	-116.2519	N/A	N/A	209
PL  88	Elk River Clay Deposit	46.7578	-116.1944	160350058	W015995	93
PL  89	Elk River Clay Occurrence	46.7436	-116.1858	N/A	N/A	210
PL  90	Driessel Property	46.6914	-116.2508	160350114	N/A	95
PL  91	Clay Occurrence	46.7939	-116.1139	N/A	N/A	208
PL  92	Partridge Creek Prospect	46.7756	-116.1244	160350072	W015918	94
PL  93	Nobals Placer	46.7358	-116.1242	N/A	N/A	226
PL  94	Browns Placer (Burnt Creek Placer; Last Chance)	46.7058	-116.1522	160350061	N/A	96
PL  95	Fisher Placer Mine	46.7019	-116.1478	N/A	N/A	224
PL  96	Sunshine Placer (Ruby Placer)	46.71	-116.1394	N/A	N/A	217
PL  97	Nugget Mine	46.7142	-116.1356	N/A	N/A	218
PL  98	Jericho Mine	46.7125	-116.1214	160350059	W015994	97
PL  99	McGann Placer (M. & I. Mining Co.; Boise Placer)	46.7117	-116.1042	N/A	N/A	197
PL 100	Pick & Pan Placer	46.7056	-116.0769	N/A	N/A	221
PL 101	Lindstrom Placer	46.6875	-116.0692	N/A	N/A	225
PL 147	Herb Olson Prospect	46.6144	-116.4036	160350107	N/A	103
PL 148	Cedar Creek Placer Deposit	46.6061	-116.4206	160350153	N/A	168
PL 150	Craig Black Sands	46.6153	-116.3583	160350104	N/A	104
PL 151	Teakean Butte Occurrence	46.5892	-116.3886	160350062	W015991	105
PL 152	Cavendish Summit	46.5739	-116.425	160350094	N/A	167
PL 153	North Fork Galena Occurrence	46.6217	-116.2825	160350145	W015945	100
PL 154	North Fork Kyanite Occurrence (Mica Schist)	46.6228	-116.2319	160350116	W015959	101
PL 155	Cranberry Placer	46.6331	-116.135	N/A	N/A	222
PL 156	Boom Rock Group	46.6419	-116.0308	N/A	N/A	219
PL 157	Maiden Bar	46.6247	-116.0519	N/A	N/A	220
PL 158	Teakean Asbestos Prospect (Teakum Asbestos)	46.5469	-116.3539	160350063	W015988	108
PL 159	Olson Asbestos	46.5358	-116.3153	160350105	N/A	109
PL 160	Bowler Mica Prospect	46.5128	-116.3278	N/A	N/A	227
PL 161	Dewey (Cunningham; St. Patrick)	46.4978	-116.3603	160350065	N/A	110
PL 162	Sylvanite Gold-Copper Prospect	46.4953	-116.3328	160690002	N/A	111
PL 163	North Fork, Clearwater River	46.5028	-116.3136	160350146	M045487	112
PL 164	Dworshak Dam Stone	46.5097	-116.2967	160350147	W015931	113
PL 165	Holt Coal Occurrence	46.4856	-116.2736	160350064	W015987	115
PL 166	Rock Placer	46.4794	-116.2611	N/A	N/A	223
PL 167	Orofino Quarry 3	46.4822	-116.2578	160350115	W015942	116
PL 168	Orofino Quarries 1 & 2	46.4875	-116.2489	160350115	W015944	117
PL 169	South Orofino Quarry	46.4747	-116.2494	160350115	W015943	118
PL 170	Orofino Quarry (Clearwater Lime Products Co.)	46.4639	-116.2308	160350157	W015941	165
PL 171	Clearwater Lime Products Co. Quarry (Orofino Prospect; Lewiston Limestone Quarry; Oriental Placer Claims)	46.4597	-116.2194	160610027	W015986	119
PL 172	Gaffney Placer	46.4825	-116.1881	160350005	W015932	114
PL 173	Benda Coal	46.4903	-116.1767	160350066	N/A	120
PL 174	Sewell Lime Co. Quarry (Lime Mountain)	46.4903	-116.0722	160350068	W015985	121
PL 175	Orofino Creek Anthophyllite Occurrence	46.4881	-116.0272	160350148	W015958	122
PL 176	Duffy Prospect (Duffy Orofino)	46.4842	-116.0244	160350073	W015984	124
PL 177	Orofino Creek Coal Occurrence	46.4925	-116.0097	160350074	W015983	123
PL 178	Big Creek Limestone Occurrence	46.4164	-116.1514	160350149	W015955	125
PL 179	Cobra Copper	46.3925	-116.1697	N/A	N/A	195
PL 180	Dundas Prospect (Lolo Mining and Power)	46.3714	-116.1553	160490335	W015982	126
PL 181	Copper Prospect	46.3644	-116.1392	N/A	N/A	166
PL 182	Lolo Copper Prospect (Allgood)	46.3594	-116.1222	160350150	W015972	127
PL 183	Snider Coal Prospect	46.3725	-116.0531	160350075	W015981	129
