Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DR  73	Heise Gold Placer	43.6333	-111.6944	160510064	W019251	61
IF 206	Cinder Pit	43.9486	-112.3017	160510011	N/A	165
IF 207	Cinder Pit	43.9283	-112.36	160510020	N/A	162
IF 208	Cinder Pit	43.9208	-112.3622	160510021	N/A	163
IF 209	Cinder Pit	43.9208	-112.3508	160510012	N/A	164
IF 210	Cinder Pit	43.8064	-112.0133	160510018	N/A	166
IF 212	Market Lake Placer	43.7133	-112.0897	160510066	W019191	191
IF 213	Roberts Clay Mine	43.7078	-112.1233	160510065	W015707	167
