Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA 302	Bullwhacker Mine	43.5394	-114.4828	160130125	W013702	146
HA 304	Big Mint Group	43.5414	-114.4675	160130113	W013694	147
HA 307	Silver Moon Mine	43.5411	-114.4233	160130121	W013699	148
HA 308	Montana Mine	43.5411	-114.4181	160130122	W013700	149
HA 309	Le Grande Group Mine	43.5356	-114.3992	160130129	W013708	150
HA 310	Democrat Mine (Idaho-Democrat Mine; Della Mtn.)	43.5256	-114.4042	160130128	W013707	154
HA 312	Narrow Gauge Mine	43.5167	-114.435	160130117	W013698	160
HA 313	Pass Group Mine (Argent Claim)	43.5167	-114.435	160130111	W013692	159
HA 314	Flagstaff (Flag Staff Group)	43.5125	-114.4336	160130267	N/A	166
HA 315	Bay State Mine (New York-Idaho Exploration Co. Property; Monarch)	43.5114	-114.4222	160130268	W013688	161
HA 317	King of the Hills (New York-Idaho Exploration Co. Property)	43.5075	-114.4161	160130109	N/A	167
HA 318	Garfield Mine (New York-Idaho Exploration Co. Property)	43.5061	-114.4128	160130109	W013691	174
HA 319	Whale Mine (New York-Idaho Exploration Co. Property)	43.5047	-114.4103	160130109	W013689	182
HA 320	Eureka Mine (New York-Idaho Exploration Co. Property)	43.5031	-114.4092	160130109	W013605	183
HA 321	Idahoan Mine (New York-Idaho Exploration Co. Property)	43.5003	-114.4036	160130109	W013690	191
HA 323	Arizona Group Mine	43.4972	-114.3956	160130110	W013709	192
HA 325	Gold Bottom (Lindy)	43.5017	-114.425	160130323	N/A	173
HA 326	Red Elephant (Apache)	43.4897	-114.4303	160130108	W013672	172
HA 327	Jay Gould Mine (Apache)	43.4986	-114.4167	160130104	W013675	178
HA 328	Mayflower Mine	43.4986	-114.4164	160130103	W013676	179
HA 329	Bullion Mine	43.495	-114.4094	160130105	W013673	190
HA 330	Durango	43.4928	-114.4089	160130107	N/A	198
HA 331	Ophir Mine(see No. 292, Bullion Mine, for production)	43.4939	-114.4114	160130106	W013674	197
HA 332	Unnamed location	43.4861	-114.4147	160130280	N/A	200
HA 333	Red Cloud Mine	43.5172	-114.4478	160130097	W013595	158
HA 334	Wolftone Mine	43.4942	-114.475	160130130	W013710	171
HA 335	Black Barb Mine (Carboniferous)	43.4856	-114.4733	160130344	W013711	189
HA 336	Kelly Mountain (Carboniferous; Continental Kelly; Field Mutual; Bellmont; Belmont)	43.4806	-114.4722	160130131	N/A	199
HA 338	D. Day	43.4603	-114.4617	160130289	N/A	232
HA 339	Badger Group	43.4608	-114.4492	160130288	N/A	233
HA 340	Liberty Gem Mine	43.4569	-114.4378	160130096	W013591	234
HA 341	Fourth of July Prospect	43.5369	-114.3553	160130034	W013666	153
HA 343	Chief of the Hills Prospect	43.5278	-114.3367	160130033	W013665	157
HA 344	Ada Jane and Bismuth Claims	43.5192	-114.3189	160130180	N/A	164
HA 346	Tom Boy Prospect	43.5189	-114.3364	160130031	W013663	163
HA 347	Democrat Gulch Prospect	43.5167	-114.3747	160130035	W013667	155
HA 348	Little Hilman Prospect (Dewey; Kid & Dewey)	43.5139	-114.35	160130032	W013664	156
HA 349	Unnamed location	43.5097	-114.34	160130216	N/A	169
HA 351	Rowley Prospect	43.5075	-114.3172	160130102	N/A	176
HA 352	Climax Mine	43.4967	-114.3478	160130030	W013662	184
HA 353	Commodore Property	43.49	-114.3508	160130192	D006795	193
HA 354	Croesus Mine	43.4739	-114.3469	160130036	W013668	207
HA 355	Eclipse Prospect	43.4739	-114.3506	160130041	W013548	209
HA 356	Assault Prospect (Hope Mine)	43.4756	-114.3522	160130042	W013549	206
HA 358	Arkoosh Group	43.475	-114.335	160130353	W013641	208
HA 359	Keystone Mine	43.4686	-114.3358	160130039	W013671	215
HA 360	Hard Times Prospect	43.4653	-114.3342	160130040	W013547	223
HA 361	Fair View Prospect	43.465	-114.3417	160130038	W013670	210
HA 362	Red Hornet Prospect	43.4656	-114.355	160130043	W013550	214
HA 363	McCoy Mine	43.4625	-114.3547	160130273	W013832	225
HA 364	Comet Mine	43.4636	-114.3475	160130037	W013669	224
HA 365	Babe Prospect	43.4583	-114.3606	160130044	W013551	226
HA 366	Rawhide 1, 2, & 3 Prospect	43.4906	-114.3164	160130347	W013895	185
HA 367	Snoose Mine (Jensen-Stevens Mine; Dickey Mine; Pacific and Snoose; Hard Times; Compensation Group)	43.4889	-114.3222	160130184	M060185	194
HA 368	Magdalena Prospect	43.4839	-114.3256	160130029	W013661	202
HA 369	Grover Crocker Mine (Queen Bess)	43.4792	-114.2933	160130024	W013657	195
HA 370	Rita May Claims 1-3 (V. W. Nos. 1-2)	43.4806	-114.3	160130181	N/A	201
HA 371	Sunshine Prospect	43.4794	-114.3056	160130027	W013660	204
HA 372	Star Mine	43.4794	-114.315	160130026	W013659	203
HA 373	Silver Star Queens Mine (Queen of the Hills)	43.4711	-114.2894	160130014	M060186	221
HA 374	Oswego Prospect	43.4731	-114.3053	160130025	W013658	205
HA 376	Sunrise Prospect	43.4722	-114.3142	160130019	W013652	211
HA 377	Peterlin Prospect	43.4675	-114.3219	160130018	W013651	216
HA 378	Heine Mine (Golden Bell)	43.47	-114.32	160130017	W013650	222
HA 380	Overland Mine	43.4647	-114.3072	160130015	W013648	227
HA 381	Little Giant Prospect	43.4647	-114.3025	160130016	W013649	220
HA 382	Relief Claim (Minnie Moore)	43.4647	-114.2931	160130013	W013640	213
HA 383	Minnie Moore Mine	43.4675	-114.2892	160130013	W002482	219
HA 384	Penobscot Mine	43.4642	-114.2828	160130020	W013653	218
HA 385	Lee Gulch Prospect	43.4594	-114.3028	N/A	W013566	228
HA 386	Modoc Chief Prospect	43.4608	-114.2978	160130056	W013564	229
HA 387	Lee Gulch Prospect	43.4606	-114.2928	160130058	W013568	217
HA 388	Legal Tender Prospect	43.4603	-114.2883	160130057	W013565	230
HA 389	McIrvin Prospect	43.4586	-114.2772	160130022	W013655	231
HA 390	Memorial Prospect	43.5078	-114.2811	160130065	W013573	170
HA 391	Unnamed location	43.5061	-114.2792	160130214	N/A	177
HA 392	Unnamed location	43.4903	-114.2586	160130070	N/A	188
HA 393	Fifty-fifty Claim	43.4889	-114.2719	160130187	N/A	187
HA 394	Hawk Prospect	43.4856	-114.2603	160130062	W013570	196
HA 791	Toxaway Lake-Twin Lakes Prospect	43.9422	-114.96	160130464	W019356	409
HA 792	McDonald Peak Occurrence	43.9428	-114.9075	160130465	W019348	412
HA 797	Star Mountain Prospect	43.8864	-114.9583	N/A	W013847	431
HA 799	Section 8 Prospect	43.8708	-114.9644	160130147	W013846	430
HA 802	Section 8 Prospect No. 2	43.8642	-114.9664	160130147	W019349	411
HA 803	Fault Zone Deposit	43.8592	-114.9844	160130152	W013845	429
HA 817	Upper Salmon River Placer	43.9072	-114.8225	160130468	W013776	464
HA 818	Upper Salmon River Placer	43.9019	-114.8147	160130469	W013777	465
HA 819	Beaver Creek Prospect	43.895	-114.8381	160130363	W013767	463
HA 820	Sawtooth City	43.8922	-114.8558	160130357	N/A	521
HA 821	Ajax Prospect	43.8844	-114.8625	160130359	W013766	458
HA 822	Upper Salmon River Placer	43.905	-114.8842	160130467	W013775	459
HA 823	Balloon Group (Star Mountain Silver Claims)	43.8917	-114.9286	160130352	W013764	456
HA 824	No. 1 Ole Claim	43.8867	-114.9356	160130145	W013863	420
HA 825	Eureka Prospect	43.8819	-114.9067	160130361	W013765	457
HA 826	Unnamed location	43.8797	-114.9011	160130243	N/A	462
