Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
HA 395	Van Meter Group (Chance Group)	43.9986	-115.8256	160150253	W007607	246
HA 398	Clear Creek Columbium Prospect	43.9931	-115.8033	160150071	N/A	245
HA 403	Poncia Placers (Wione Mining Co.)	43.9886	-115.8578	160150110	N/A	242
HA 406	Gallupe Group (H. F. England & Co.)	43.9756	-115.8414	N/A	N/A	602
HA 407	Blue Ridge	43.9717	-115.8736	160150113	N/A	257
HA 412	Lightfoot Prospect	43.9672	-115.8436	160150078	N/A	276
HA 413	Grimes Golden	43.9603	-115.8442	160150256	N/A	269
HA 414	Grimes Co. Placers	43.9583	-115.8575	160150260	W007571	268
HA 420	Crescent Placer	43.9961	-115.9408	160150121	N/A	237
HA 423	Mineral Hill Mine (Golden Rod)	43.9856	-115.9083	160150021	W007611	240
HA 425	Buckskin Mine	43.9819	-115.8933	160150022	W007612	241
HA 427	Saunders Mine (Hiatt)	43.9747	-115.9153	160150020	W007603	248
HA 430	Gold Dollar Group	43.9869	-115.9417	160150018	W007630	238
HA 431	Silver King Prospect	43.9817	-115.9889	160150251	W013639	235
HA 432	Black Bear (Eakin Group; Blum and Eken Group)	43.9811	-115.9542	160150017	N/A	251
HA 434	James Hawley Group	43.9808	-115.9431	N/A	W007613	236
HA 439	Silver Bell Prospect (Hiatt Prospect)	43.9731	-115.9364	160150019	N/A	254
HA 441	Hartford Group	43.9733	-115.9619	160150016	N/A	252
HA 444	Last Chance Mine	43.9619	-115.9872	160150014	W007614	253
HA 445	Coin Bond Mine (Carroll-Driscoll Groups; Hildamae Group; Boise Basin Improvement Co.; Carroll Group; Carroll and Carpenter)	43.9625	-115.9744	160150015	W007609	247
HA 447	Canyon Creek Prospect	43.9583	-115.9697	160150083	N/A	265
HA 448	Gold Hill Mine (Gold Hill and Iowa Mine; Iowa Mine; Pioneer; Sunday; Confederate; Pioneer Mountain)	43.9586	-115.985	160150013	W007615	263
HA 451	Mayflower Mine (Mayflower and Elizabeth Group; Elizabeth; Homeward Bound)	43.9531	-115.9953	160150010	W007610	180
HA 452	Silver Star Prospect (Richland Mine)	43.9475	-115.9939	160150009	W007606	860
HA 455	Quartzburg-Empire Mine	43.9486	-115.9831	160150283	N/A	859
HA 457	Ashcroft No. 2 Prospect	43.9539	-115.9528	160150211	W007599	266
HA 459	Leary Placer Mine (Leary and Brogan)	43.9475	-115.9358	160150105	FS00192	274
HA 460	Reid Placer Mine (Robinson; Crevice Diggings)	43.9442	-115.9278	160150120	N/A	280
HA 462	Halley Placer Mine	43.9403	-115.9467	160150106	N/A	278
HA 463	Concentrator No. 1 (Depression Placer; Rhinestone #1-#5)	43.9422	-115.9664	160150107	N/A	277
HA 464	Fall Creek Placers (Corcoran; Norwegian Flat; Kennedy Placer)	43.9364	-115.9872	160150124	W007587	273
HA 465	Granite Creek Placer (Granite)	43.9317	-115.9639	160150123	N/A	281
HA 468	Placerville Unit (Gold Hill Placer Mines)	43.9344	-115.9314	N/A	W007565	279
HA 470	Clear Creek Mine No. 1	43.8869	-115.9856	160150082	N/A	306
HA 473	Grimes Creek Placers (Centerville Dredge)	43.9317	-115.8744	160150259	W007907	267
HA 475	Granger Group	43.9242	-115.895	160150282	N/A	855
HA 477	Bummer Hill Diggings	43.9219	-115.8839	160150279	N/A	851
HA 478	Cash Register Mine	43.9225	-115.8542	160150034	W007592	283
HA 479	Big Ben Mine	43.9183	-115.8414	160150033	W007584	284
HA 485	Twin Sister Mine	43.9108	-115.8828	160150031	W007585	285
HA 489	Grimes Creek	43.9025	-115.8972	160150122	N/A	331
HA 490	Fisher and Baumhoff Placers (Wharton Estate Claims)	43.8825	-115.9172	160150265	W007563	308
HA 491	Homestead Group	43.8844	-115.9089	160150258	FS00137	307
HA 493	Crackerjack (Red Feather)	43.8836	-115.8517	160150278	FS00187	846
HA 495	Buffalo	43.8725	-115.8514	N/A	N/A	3
HA 496	Mattie Group Prospect (Warner; Lippencott and Warner; Proffer Group)	43.8711	-115.8761	160150030	W007618	310
HA 497	Gold Belt	43.87	-115.8703	160150280	N/A	852
HA 507	King Mine (Smith Group; Ruthey; Governor; Corse Gold; Mamie)	43.9875	-115.6975	160150254	FS00152	258
HA 512	Mademoiselle Mine (Gold Dollar Group)	43.9617	-115.6994	160150261	W007595	270
HA 513	Golden Dividend Mine	43.9575	-115.7042	160150262	W007594	271
HA 514	Red Lode Mine (Olympia Group)	43.9553	-115.72	160150053	W007562	272
HA 515	Surprise	43.9169	-115.6486	160150266	FS00405	309
HA 516	Hayfork Mine (Gold Bug Group; Black Eagle Group; Switzerland)	43.9039	-115.6842	160150052	W007620	304
HA 517	Sunset Peak Properties	43.8986	-115.6553	160150264	W007568	305
HA 519	Red Howes	43.8481	-115.7697	160150076	N/A	330
HA 520	Lakow Flats Placer-Lakow Extension Nos. 1-5 (Bear Run Creek)	43.8453	-115.7883	160150086	N/A	329
HA 521	Antimony Prospect	43.8356	-115.7769	160150035	W007589	328
HA 525	Gold Hill Placers No. 1, 3, 4, and 5 (Idaho City Placer; Gold Hill Placer Mines)	43.8381	-115.8228	160150075	W007564	333
HA 530	Monazite Claims (Oakes Placer; Oaks; Dessie D.)	43.8403	-115.9017	160150127	N/A	275
HA 535	Antonson Mining Co. Placer (Gerald; Quarles Property)	43.8247	-115.8356	160150132	W007583	334
HA 539	Mores Creek Dredging Co. Mine (Elk and Mores Creeks; Idaho-Canadian Dredge)	43.8208	-115.8458	160150125	W007908	336
HA 540	Bar	43.8164	-115.8472	160150285	FS00207	862
HA 541	Pine Hill	43.8128	-115.8461	160150272	FS00120	342
HA 542	New Chance	43.81	-115.8125	160150099	N/A	350
HA 544	Unnamed prospects	43.8064	-115.8183	160150116	N/A	349
HA 550	Mud Springs Prospect (Lippencott; Last Chance)	43.8142	-115.8719	160150029	W007588	347
HA 551	New Deal	43.81	-115.8739	160150270	FS00130	340
HA 552	Blue Bird Mine	43.8092	-115.895	160150028	N/A	338
HA 553	Boomer Prospect	43.805	-115.8861	160150027	W007593	339
HA 554	Lost Cavalos	43.7981	-115.89	160150273	FS00141	344
HA 556	Edna Mae	43.7931	-115.8881	160150284	FS00211	861
HA 560	Garrecht Prospects (Coyote; High Five)	43.7878	-115.8467	160150274	W007578	351
HA 561	Morning Mist Mine	43.7833	-115.8406	160150133	N/A	348
HA 562	Bert Day Mine	43.7942	-115.9242	160150026	W007590	343
HA 563	Big Gulch Mine	43.7881	-115.9136	160150025	W007623	345
HA 565	K. M. Mine	43.78	-115.915	160150024	W007622	346
HA 566	McKinley Mine (Sterling Group; Jupiter; Jupiter Mountain Mining)	43.7742	-115.9208	160150023	W007581	353
HA 577	Bismark Placer	43.7075	-115.9739	N/A	N/A	79
HA 592	Edna Mine	43.9806	-115.6381	160150054	W007586	250
HA 593	Stella Bomar Nos. 1 & 2	43.9706	-115.6456	160150074	N/A	259
HA 603	Rabbit Creek Placer Area	43.8208	-115.6847	160150131	N/A	352
HA 622	Gold Nugget	43.6619	-115.7317	N/A	N/A	6
HA 628	New Columbium	43.6111	-115.8483	160150073	N/A	357
HA 783	Pinchot Creek Beryl Deposit	43.9936	-115.1072	N/A	W019187	401
HA 785	Inama Prospect	43.9711	-115.0008	160390637	W013837	421
HA 786	Mt. Everly Beryl Occurrence	43.9669	-115.0839	160390733	W019186	402
HA1261	Badger	43.9706	-115.7022	N/A	FS00135	382
